A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
1792,-3468,15320,1101,1331,2079,-14856,2588,-2976,-2194,461,1346,-12788,9240,-1248,-684,399,569,-12660,-8676,-5216,1021,-107,-4089,-11244,-10628,1988,-212,-1676,-4580,-15208,120,-2860,694,415,-185
1880,-4040,14672,1038,1111,2059,-14500,2756,-2516,-2218,132,816,-12356,9132,-1228,-899,188,237,-12528,-8608,-5184,1184,122,-3675,-11360,-10688,1908,-62,-1432,-4202,-15832,504,-2776,841,604,-14
1528,-3976,15620,1087,432,1272,-14956,2852,-2768,-1343,-68,433,-12848,8900,-1172,-584,-129,10,-12420,-9232,-5360,1188,289,-3324,-11284,-10364,2224,98,-981,-4037,-15604,296,-2832,1276,523,-38
1332,-4000,15816,914,256,1153,-14620,3388,-2732,-1346,-382,159,-12628,8672,-896,-363,-485,-348,-12044,-9412,-5052,1754,429,-2978,-11044,-11012,1944,414,-727,-3777,-15532,512,-3260,1231,-24,-215
1240,-3948,14068,1137,673,677,-14468,3448,-2596,-854,-497,37,-12248,9100,-1096,127,-737,-504,-12000,-8992,-4884,2254,559,-2579,-10780,-11048,2068,900,-351,-3514,-15328,532,-2868,1179,252,-419
1044,-3008,16372,484,153,325,-14764,4088,-2748,-546,-570,-294,-12516,9072,-812,11,-844,-593,-12008,-9612,-4788,1958,318,-2149,-10840,-11032,2380,800,-192,-3142,-15592,376,-3028,1100,746,-296
968,-2796,15588,1080,-364,789,-14956,3980,-2440,-1035,-811,-467,-12724,9344,-1040,-165,-916,-750,-11832,-9440,-4316,2236,483,-1751,-10540,-10904,2732,1025,-39,-2849,-15516,248,-3224,1265,894,-297
844,-3864,15480,881,-648,373,-15212,3688,-2448,-711,-778,-689,-13124,8972,-564,-222,-981,-740,-12452,-10052,-4436,1788,336,-1589,-11044,-11320,2660,957,227,-2599,-15876,744,-2924,1430,739,-262
896,-4800,16852,530,-358,-302,-16868,3656,-2972,115,-508,-369,-14924,8508,336,313,-861,-567,-12512,-11912,-3680,1853,-42,-1765,-11384,-11720,3760,430,158,-2688,-15752,892,-3404,1176,300,127
636,-3816,16632,19,421,-169,-17340,3936,-3388,-58,120,301,-15228,8756,572,447,-568,-349,-12560,-12336,-2332,2348,-279,-2368,-11160,-11736,4004,702,-796,-3125,-15604,1056,-2956,717,223,265
1084,-4116,18228,-182,698,480,-17852,3900,-3132,-613,698,663,-15472,9176,412,24,117,-146,-12756,-12496,-3048,1465,-299,-3141,-11068,-11748,4340,332,-1659,-3672,-15548,1360,-2904,983,489,261
1272,-2832,17392,-382,1412,984,-17836,3948,-2572,-1132,965,1132,-15428,9292,724,-318,348,-59,-12748,-12452,-2736,1140,-785,-4009,-11156,-11984,4028,-515,-2424,-4213,-16016,1360,-2944,779,449,-37
1864,-3012,17428,-396,1463,1294,-17440,3660,-2124,-1279,1178,1230,-15216,9212,744,-510,664,-8,-12488,-12416,-2796,830,-990,-4634,-10760,-11956,4344,-781,-2943,-4521,-16168,1244,-2832,722,-48,-393
2200,-3108,17476,-381,1313,1103,-17168,3336,-1960,-1008,1240,1252,-14912,9416,332,-520,485,-282,-12276,-12532,-2860,847,-1337,-5077,-10516,-12596,4084,-988,-3376,-4785,-16076,872,-2792,576,-819,-681
2180,-3460,17272,-448,1290,743,-16724,3580,-1788,-754,1087,1036,-14640,9308,248,-358,189,-654,-12088,-12600,-3256,1482,-1354,-5336,-10204,-12636,4012,-444,-3649,-5069,-15444,828,-2940,746,-433,-464
1696,-4356,17260,-606,1375,86,-16896,3728,-2160,-70,921,884,-14924,9360,200,92,-211,-1119,-11868,-12956,-3124,2045,-1204,-5457,-9952,-12532,4348,-305,-3528,-5229,-15656,976,-2876,384,150,-17
724,-2592,18044,-951,1172,-462,-16756,5028,-2672,677,1034,991,-14516,9628,-28,372,-557,-1205,-11564,-12744,-2960,2533,-1335,-5766,-9652,-12536,4096,-539,-3960,-5347,-15504,928,-3052,393,-375,-132
160,-2352,16764,-310,1107,275,-16040,5288,-2876,-299,792,1007,-13780,9988,-380,-301,-437,-1315,-11168,-12456,-2880,2421,-1637,-6214,-9164,-12568,3604,-367,-4321,-5627,-14912,672,-3044,410,-307,-107
-648,-3724,15424,-56,1289,364,-15108,5100,-3132,-450,745,1089,-13064,9228,-728,-850,-420,-1532,-10408,-12200,-2972,2253,-2202,-6364,-7828,-12628,4316,-361,-4133,-5734,-15232,400,-2592,-40,-65,-33
-820,-4416,14964,-344,1593,-27,-14352,4940,-3636,115,893,1115,-12564,8848,-1188,-311,-381,-1586,-9440,-12540,-3064,2403,-1816,-6073,-7276,-12992,3868,-250,-3856,-5653,-15388,92,-2916,262,-222,266
-740,-4296,15776,-601,1191,-19,-14172,5120,-4268,83,1038,982,-12596,8972,-1096,97,-296,-1696,-9336,-12636,-2800,2772,-1614,-5696,-7216,-13376,4268,194,-3554,-5468,-15548,56,-3244,663,355,784
-456,-4668,14580,-973,906,175,-13892,4592,-4140,-217,1177,710,-12540,8620,-1308,-194,-273,-1927,-8672,-12932,-2744,2644,-1690,-5274,-6596,-13572,4604,333,-3399,-5180,-15968,264,-2752,528,753,974
-188,-5152,14980,-1177,1111,-393,-14216,4408,-3972,425,1183,628,-13368,8040,-924,139,-120,-1907,-8244,-13424,-2484,2777,-1126,-4927,-6028,-13784,4744,160,-2570,-5055,-15824,140,-1624,889,-706,662
80,-4804,16152,-1552,967,-597,-14896,4496,-4156,791,1308,589,-13896,7980,-952,600,-387,-2109,-8036,-13932,-1988,2635,-949,-5062,-5816,-13856,4704,711,-2687,-5206,-15436,64,-2012,1080,-284,421
4,-5172,15340,-1308,656,-975,-14636,4120,-3908,1117,1201,568,-13648,7360,-1424,985,-528,-2092,-7056,-14048,-1548,3189,-109,-4885,-5084,-13340,5528,1374,-2332,-5176,-16020,364,-1892,846,151,5
816,-4616,14284,-1428,1028,-1539,-13812,4500,-4208,1694,1132,446,-13016,7988,-700,1457,-587,-2244,-7784,-13184,-1800,2035,29,-4997,-5284,-14284,4580,189,-2099,-5073,-15548,576,-2728,575,-676,-339
-232,-3632,14680,-1595,798,-1274,-14172,4628,-3980,1286,1120,64,-13176,7772,-696,1125,-476,-2379,-7424,-14560,-1420,1968,-169,-4607,-4968,-14124,5312,383,-1889,-4918,-15408,204,-2868,665,151,-470
388,-4484,14748,-1518,316,-1214,-14164,4244,-3692,1294,996,-200,-13560,7368,-840,1228,-654,-2433,-7048,-14008,-960,2680,48,-4246,-4868,-13740,5616,1377,-1683,-4768,-15568,608,-2468,389,513,-283
-320,-4308,15124,-1592,96,-1795,-14156,4692,-3836,1904,947,-295,-13228,7524,-552,1653,-777,-2445,-7048,-13824,-696,2099,422,-4352,-4420,-13272,5360,646,-1670,-4655,-15572,416,-2784,404,-66,-252
-240,-3964,15220,-1507,-107,-1358,-14608,4916,-4376,1390,1009,-448,-13692,8000,-320,1209,-475,-2570,-6908,-14492,-340,1596,40,-4368,-4328,-13944,5792,280,-1725,-4543,-15100,620,-2548,534,495,-335
-332,-5040,14788,-1551,-210,-1254,-14264,4488,-4324,1284,995,-604,-13776,7200,-764,1020,-460,-2565,-6288,-14464,-656,1848,295,-4271,-4020,-13580,6120,756,-1794,-4515,-15452,680,-2508,429,969,-391
-472,-4300,14644,-1663,-303,-1372,-14024,4812,-4296,1392,985,-701,-13320,7120,-240,1036,-475,-2603,-6340,-14220,-412,1090,213,-4354,-3696,-13924,5440,-257,-1858,-4269,-15800,228,-2824,-3,301,-521
-140,-4904,14944,-1617,-369,-1088,-14332,4544,-4112,1131,1002,-794,-13808,7324,-492,895,-273,-2732,-5896,-15168,-56,1311,115,-4021,-3448,-14512,6120,-4,-1736,-4139,-15652,164,-2920,476,127,-520
128,-5008,14784,-1746,-589,-1512,-14388,4208,-4136,1506,1113,-936,-14012,6844,-456,1070,-307,-2662,-5512,-14984,-132,1462,87,-3866,-2980,-14504,6296,402,-1793,-4039,-15208,132,-3208,471,359,-527
336,-4732,16728,-1947,-767,-1357,-15212,4404,-4536,1515,1103,-1092,-14888,6684,-244,1076,-357,-2714,-5556,-15556,76,1354,64,-3867,-2920,-14176,6512,272,-1862,-4001,-15752,436,-3364,374,302,-436
884,-5884,16020,-2003,-875,-1691,-15996,3740,-4220,1821,1003,-1175,-15796,6628,-56,1150,-487,-2894,-5432,-16112,776,1302,100,-4216,-2604,-14676,6644,225,-2039,-4217,-15468,524,-3016,587,-3,-562
1112,-4148,15608,-1970,-1075,-1833,-15400,3744,-4580,1843,1034,-1452,-15236,6652,280,875,-524,-3108,-5076,-16368,616,1625,-287,-4467,-2192,-15200,6580,896,-2363,-4544,-15636,92,-2920,894,-37,-864
1800,-4932,15284,-1790,-1387,-1524,-15344,3196,-3696,1322,729,-1926,-15112,6268,-152,723,-688,-3393,-4568,-15900,652,1684,-261,-4466,-1940,-14404,6980,983,-2565,-4530,-15636,184,-2908,657,-503,-833
1660,-5256,16684,-1544,-1854,-2140,-15788,3300,-4328,2084,548,-2254,-15632,6148,12,713,-967,-3677,-4688,-16256,656,1510,-343,-4675,-1848,-14792,6892,831,-2680,-4593,-16072,132,-2772,995,-487,-787
1196,-3648,15348,-1335,-2409,-1785,-14728,3832,-4360,1474,239,-2622,-14564,6452,16,302,-1087,-3727,-4052,-15776,892,2090,-671,-4613,-1392,-14660,7384,1185,-2877,-4615,-15584,128,-3524,1224,-197,-1053
1020,-6644,15604,-1074,-2934,-1776,-14880,3472,-4208,1359,-22,-2776,-14936,5500,92,253,-1317,-3875,-3712,-15332,1132,1791,-625,-4553,-692,-13856,7232,1117,-3014,-4501,-15820,304,-2716,656,-513,-1156
616,-5088,15096,-1523,-2274,-2066,-14564,3708,-4824,1808,-66,-2616,-14356,5628,128,428,-1342,-3760,-3368,-15532,936,1776,-744,-4516,-548,-14160,7056,689,-2831,-4401,-15200,-40,-2492,471,-555,-1260
416,-4996,14052,-1134,-2418,-1660,-14280,3764,-4536,1411,-84,-2508,-14276,5128,272,305,-1324,-3646,-2868,-15340,1088,1794,-879,-4225,-480,-13948,7472,722,-3059,-4098,-15124,-608,-2592,829,-284,-1412
460,-4704,14476,-1235,-1950,-1497,-13620,3648,-4600,1116,113,-2477,-13368,5120,472,-90,-1140,-3493,-2604,-14676,1176,1707,-1042,-3862,376,-13464,6964,807,-3012,-3624,-15596,-552,-2900,601,-215,-1378
1656,-5064,14472,-836,-3006,-929,-13404,2724,-3684,602,-144,-2674,-13416,3952,-580,-112,-1115,-3294,-1932,-14076,840,1337,-749,-3473,640,-12920,6876,865,-2535,-3325,-15556,-656,-2248,121,-661,-1163
808,-3152,12340,-682,-2862,-1409,-12252,2932,-4024,841,-470,-2489,-12340,4068,-244,-196,-1277,-2940,-1684,-13824,752,1104,-694,-2961,1132,-13328,6676,-90,-2093,-2715,-15104,-792,-2152,381,10,-1011
