gravity_test
Module: E0:5A:1B:76:51:80 (05)
t(us),ax,ay,az,gx,gy,gz,y,p,r
1,32767,19414,6266,-23,-45,-10,0.000036,0.012450,0.013796
15626,32767,19448,6248,-24,-45,-10,-0.002196,0.092024,0.058324
31252,32767,19448,6298,-25,-44,-10,-0.003003,0.107638,0.067110
46877,32767,19434,6310,-24,-44,-9,-0.005035,0.138753,0.084809
62504,32767,19450,6272,-25,-45,-9,-0.006254,0.154119,0.093722
78130,32767,19416,6328,-24,-45,-10,-0.009076,0.184606,0.111338
93756,32767,19464,6304,-24,-45,-9,-0.010555,0.199598,0.120184
109381,32767,19456,6238,-24,-44,-10,-0.014143,0.229345,0.137798
125007,32767,19454,6270,-25,-45,-11,-0.014143,0.229345,0.137798
140633,32767,19434,6272,-25,-44,-8,-0.020187,0.272952,0.164162
156259,32767,19418,6298,-24,-44,-9,-0.024864,0.301321,0.181799
171884,32767,19428,6226,-23,-44,-9,-0.027414,0.315210,0.190483
187511,32767,19424,6254,-24,-44,-9,-0.032654,0.342688,0.208160
203137,32767,19470,6282,-24,-45,-10,-0.035544,0.356190,0.216859
218763,32767,19412,6260,-23,-45,-8,-0.041448,0.382672,0.234601
234389,32767,19446,6234,-24,-44,-10,-0.044529,0.395653,0.243357
250019,32767,19392,6264,-24,-44,-9,-0.054438,0.433699,0.269857
265645,32767,19394,6310,-24,-44,-9,-0.057916,0.445941,0.278640
281271,32767,19380,6288,-25,-44,-9,-0.061497,0.458159,0.287400
296897,32767,19404,6290,-24,-45,-10,-0.068802,0.481806,0.305113
312524,32767,19402,6238,-24,-44,-9,-0.072681,0.493527,0.313946
328150,32767,19388,6288,-24,-44,-8,-0.080497,0.516133,0.331635
343776,32767,19408,6270,-24,-44,-10,-0.084603,0.527185,0.340490
359403,32767,19412,6338,-25,-44,-9,-0.092926,0.548791,0.358184
375029,32767,19418,6326,-24,-44,-9,-0.101543,0.569708,0.375879
390655,32767,19424,6322,-24,-45,-10,-0.105877,0.579823,0.384752
406281,32767,19406,6236,-24,-44,-9,-0.114940,0.599680,0.402530
421908,32767,19416,6336,-24,-44,-9,-0.119644,0.609310,0.411415
437534,32767,19440,6286,-24,-46,-11,-0.128913,0.628073,0.429132
453161,32767,19410,6312,-24,-44,-8,-0.133661,0.637137,0.438071
468788,32767,19426,6232,-24,-44,-9,-0.143371,0.654873,0.455615
484415,32767,19438,6304,-24,-44,-10,-0.148312,0.663515,0.464577
500041,32767,19414,6290,-25,-44,-9,-0.163323,0.688293,0.490859
515668,32767,19426,6326,-23,-44,-9,-0.168420,0.696169,0.499730
531294,32767,19410,6314,-24,-45,-9,-0.173490,0.704010,0.508393
546920,32767,19438,6306,-25,-44,-9,-0.183802,0.719024,0.525928
562546,32767,19404,6300,-24,-45,-10,-0.188924,0.726315,0.534491
578172,32767,19436,6322,-24,-45,-10,-0.199441,0.740492,0.551912
593799,32767,19438,6308,-24,-44,-9,-0.204647,0.747283,0.560395
609425,32767,19416,6270,-25,-45,-9,-0.215295,0.760534,0.577622
625051,32767,19414,6320,-25,-45,-9,-0.225991,0.773244,0.594649
640677,32767,19394,6306,-24,-44,-9,-0.231353,0.779324,0.603146
656303,32767,19460,6352,-24,-44,-10,-0.241990,0.791168,0.619815
671930,32767,19442,6268,-24,-45,-10,-0.247472,0.796849,0.628350
687557,32767,19452,6320,-25,-43,-10,-0.258045,0.807853,0.644920
703191,32767,19350,6302,-25,-45,-9,-0.263417,0.813095,0.653201
718816,32767,19412,6250,-24,-45,-10,-0.274186,0.823361,0.669502
734441,32767,19442,6274,-25,-45,-8,-0.284977,0.833209,0.685659
750066,32767,19386,6246,-24,-45,-9,-0.284977,0.833209,0.685659
765693,32767,19384,6286,-23,-45,-11,-0.295677,0.842605,0.701584
781320,32767,19412,6232,-23,-44,-9,-0.306157,0.851452,0.717323
796947,32767,19430,6188,-24,-45,-9,-0.316805,0.859913,0.732939
812572,32767,19432,6296,-24,-45,-9,-0.322066,0.863966,0.740589
828199,32767,19414,6294,-25,-44,-9,-0.332435,0.871830,0.755891
843829,32767,19420,6306,-24,-45,-9,-0.337597,0.875634,0.763265
859455,32767,19440,6336,-25,-45,-9,-0.347796,0.882749,0.778025
875081,32767,19444,6270,-24,-46,-11,-0.357881,0.889724,0.792591
890707,32767,19458,6316,-24,-44,-9,-0.362875,0.892967,0.799724
906334,32767,19408,6324,-24,-45,-9,-0.372823,0.899361,0.814081
921960,32767,19424,6268,-25,-44,-10,-0.377838,0.902515,0.821023
937587,32767,19478,6252,-24,-45,-10,-0.387489,0.908354,0.834600
953213,32767,19398,6230,-25,-45,-10,-0.392432,0.911210,0.841477
968840,32767,19408,6280,-24,-44,-8,-0.401837,0.916625,0.854816
984465,32767,19428,6324,-24,-46,-10,-0.411301,0.921829,0.867894
1012209,32767,19398,6258,-24,-44,-9,-0.411301,0.921829,0.867894
1027836,32767,19416,6282,-25,-44,-10,-0.429366,0.931383,0.893106
1043463,32767,19424,6360,-23,-44,-10,-0.433884,0.933614,0.899277
1059089,32767,19430,6256,-25,-45,-8,-0.442416,0.937762,0.911283
1074715,32767,19392,6254,-24,-44,-9,-0.451208,0.941942,0.923222
1090342,32767,19424,6252,-24,-44,-9,-0.455345,0.943845,0.928823
1105969,32767,19446,6250,-25,-44,-10,-0.463610,0.947628,0.940265
1121596,32767,19450,6306,-24,-45,-10,-0.467624,0.949361,0.945767
1137223,32767,19392,6216,-25,-45,-9,-0.479495,0.954474,0.961966
1152849,32767,19472,6284,-24,-46,-10,-0.483528,0.956112,0.967341
1168476,32767,19406,6298,-24,-44,-10,-0.487255,0.957639,0.972690
1184103,32767,19404,6304,-25,-45,-9,-0.494735,0.960681,0.982759
1199729,32767,19442,6310,-25,-44,-8,-0.498547,0.962115,0.987790
1215356,32767,19396,6260,-25,-45,-10,-0.505681,0.964870,0.997603
1230982,32767,19430,6286,-24,-44,-9,-0.509287,0.966205,1.002345
1246609,32767,19432,6280,-24,-44,-10,-0.516194,0.968778,1.011657
1262236,32767,19426,6270,-25,-44,-9,-0.522869,0.971132,1.020756
1277862,32767,19452,6294,-24,-44,-9,-0.526299,0.972354,1.025232
1293488,32767,19452,6310,-24,-45,-8,3.141349,-0.000244,-0.000122
1309115,32767,19422,6310,-25,-45,-9,-0.536011,0.975706,1.038204
1324740,32767,19388,6272,-24,-45,-9,-0.542023,0.977639,1.046447
1340365,32767,19398,6280,-24,-45,-9,-0.545075,0.978719,1.050533
1355990,32767,19452,6308,-24,-46,-10,-0.551051,0.980616,1.058434
1371616,32767,19460,6288,-24,-45,-10,-0.553930,0.981524,1.062507
1387243,32767,19432,6300,-24,-45,-10,-0.562427,0.984148,1.073693
1402869,32767,19434,6268,-25,-44,-10,-0.565039,0.984840,1.077474
1418495,32767,19430,6268,-24,-45,-9,-0.567792,0.985651,1.081074
1434121,32767,19414,6234,-24,-45,-9,-0.573094,0.987285,1.088039
1449748,32767,19454,6296,-25,-44,-9,-0.575613,0.987973,1.091433
