x_90d_tur,,,,,,,,,
Module: E0:5A:1B:76:51:80 (05),,,,,,,,,
t(us),ax,ay,az,gx,gy,gz,y,p,r
1,-998,19728,5948,-4,1,-24,-0.000333,0.013918,0.012695
15628,674,19746,5932,24,70,-28,-0.003207,0.093516,0.058038
31254,936,19436,6214,28,86,-2,-0.003903,0.107915,0.067682
46881,684,19308,6092,21,68,-2,-0.006283,0.136353,0.086547
62508,-223,19394,6180,-37,69,3,-0.007717,0.150629,0.095663
78134,-901,19770,6308,-48,16,-13,-0.010623,0.178825,0.112826
93760,266,19840,6490,-19,-124,-31,-0.012066,0.19345,0.121638
109387,-526,19444,6756,-5,-242,8,-0.015472,0.225383,0.139793
125013,-473,19532,6634,-44,-135,20,-0.015472,0.225383,0.139793
140640,338,19580,6414,-23,43,0,-0.022359,0.273456,0.165812
156267,-153,19674,6236,6,115,-19,-0.027259,0.299667,0.183418
171893,-742,19566,6118,-21,75,-52,-0.029748,0.311947,0.192641
187520,144,19726,6174,-53,-24,-32,-0.034294,0.337284,0.210494
203147,-570,19746,6356,-47,-95,19,-0.036755,0.350614,0.219088
218778,158,19670,6260,-31,-136,51,-0.043386,0.378524,0.236356
234404,476,19780,6174,-31,-157,46,-0.047142,0.392687,0.245075
250038,-412,19652,6006,-20,-109,5,-0.058661,0.434229,0.271603
265664,-540,19444,5886,-29,-8,10,-0.062296,0.446844,0.280679
281290,-204,19350,6068,-57,75,13,-0.06607,0.458492,0.289304
296916,208,19674,6384,-71,101,7,-0.073544,0.479947,0.305553
312542,329,19914,6544,-44,66,-13,-0.07716,0.490218,0.313701
328168,573,19772,6370,20,24,-30,-0.084932,0.510775,0.331454
343793,-931,19712,6304,-29,-7,-25,-0.088774,0.521029,0.34088
359419,606,19498,6240,-80,-81,2,-0.096731,0.542085,0.358669
375045,459,19548,6470,-50,-165,21,-0.105157,0.564301,0.375354
390672,562,19478,6098,5,-195,1,-0.109917,0.57596,0.384127
406298,-941,19570,6170,11,-168,-21,-0.119786,0.598765,0.403258
421924,-851,19620,6142,-11,-70,-37,-0.124614,0.609503,0.413074
437550,-50,19712,6218,3,34,-47,-0.133677,0.62803,0.431819
453177,170,19460,6180,-3,-16,-27,-0.138237,0.636257,0.441158
468804,558,19394,6328,3,-83,1,-0.148169,0.653605,0.459351
484431,477,19626,6646,-42,-93,3,-0.153458,0.662628,0.468509
500056,948,19784,6348,-23,-25,-6,-0.168638,0.688015,0.494898
515683,-321,19618,6144,-53,34,-16,-0.173644,0.695429,0.503384
531309,-786,19564,6152,-38,8,-8,-0.178351,0.702522,0.511597
546935,90,19550,5992,5,-23,1,-0.188507,0.716737,0.528749
562562,547,19774,6020,10,-30,11,-0.194242,0.723997,0.537583
578189,270,19518,6406,-28,-22,-16,-0.20577,0.738107,0.555531
593816,-401,19536,6646,-53,-49,-63,-0.210666,0.744722,0.564058
609443,-11,19604,6478,-16,-86,-105,-0.219578,0.757314,0.581694
625070,628,19578,5804,1,-66,-72,-0.228615,0.769398,0.600806
640696,-471,19864,5952,-54,-66,-19,-0.2339,0.775546,0.610084
656323,-643,19860,6516,-49,-44,7,-0.24426,0.787684,0.627244
671950,708,19568,6742,-35,-29,12,-0.249527,0.793394,0.635276
687576,-746,19442,6318,-5,-15,-25,-0.260296,0.804099,0.651011
703203,-816,19488,5992,-20,-45,-53,-0.265512,0.808946,0.659226
718829,45,19734,6006,-23,-103,-83,-0.27556,0.818947,0.676919
734456,568,19934,6158,4,-142,-29,-0.286074,0.829427,0.695612
750082,927,19726,6516,7,-112,4,-0.291994,0.834769,0.704852
765708,-124,19532,6698,0,-75,10,-0.291994,0.834769,0.704852
781333,25,19826,6442,50,-41,5,-0.309687,0.849337,0.729845
796960,453,19596,5834,159,-54,17,-0.322896,0.8577,0.746914
812587,-205,19454,5630,110,-24,10,-0.33077,0.862003,0.756432
828213,579,19746,6386,39,66,6,-0.344876,0.869769,0.773531
843839,-229,19796,6978,-7,84,-5,-0.350337,0.872652,0.780309
859465,288,19820,6758,72,9,-17,-0.359654,0.877627,0.792278
875091,-985,19668,6690,175,-92,-26,-0.371586,0.88346,0.807952
890717,-926,19324,6186,326,-184,-46,-0.371586,0.88346,0.807952
906344,575,19600,6072,339,-120,-25,-0.398731,0.894744,0.841857
921970,17,20150,6140,290,-46,-44,-0.40865,0.898151,0.853318
937596,-919,20344,5766,261,28,-41,-0.42542,0.903044,0.873532
953223,-998,20432,5598,135,55,-82,-0.432736,0.904807,0.882927
968850,533,20786,6374,99,38,1,-0.443591,0.907468,0.898683
984476,923,20504,6058,203,-19,51,-0.455621,0.911325,0.912763
1000103,-790,19820,5926,328,-54,1,-0.463772,0.913996,0.920893
1027702,-472,20072,6254,223,-107,-17,-0.463772,0.913996,0.920893
1043329,-689,20468,5826,147,-56,-49,-0.497655,0.92348,0.9587
1058955,-532,21424,5844,192,14,-3,-0.509497,0.926691,0.974374
1074582,69,21160,6350,275,-79,63,-0.522989,0.929733,0.989869
1090208,-384,20722,6658,386,-118,82,-0.531769,0.932098,0.998738
1105833,-607,20720,6218,396,-50,24,-0.551243,0.936944,1.017526
1121459,672,20670,6052,397,129,8,-0.559669,0.938346,1.026075
1137085,810,21256,5916,459,174,-2,-0.574741,0.939397,1.040339
1152710,960,21688,6468,535,52,48,-0.591412,0.940376,1.056273
1168335,144,22000,6838,536,-170,73,-0.601114,0.941862,1.066017
1183961,-628,21604,6162,761,-128,101,-0.623625,0.946129,1.08891
1199587,-101,21270,5606,833,11,56,-0.636928,0.948215,1.101566
1215214,88,21580,5498,766,85,-19,-0.660382,0.950077,1.125026
1230840,685,22128,6590,578,57,-58,-0.669629,0.950064,1.135368
1246467,-903,22626,6930,474,-171,-31,-0.683353,0.949559,1.153066
1262094,-815,23238,6152,488,-261,-3,-0.690706,0.950135,1.163352
1277721,895,22918,5412,676,-84,17,-0.716592,0.952113,1.197043
1293347,-862,22760,4690,974,175,-72,-0.725696,0.95144,1.208475
1308973,696,23164,5844,912,162,-94,-0.734215,0.950081,1.219587
1324600,-681,23324,6688,727,-127,-5,-0.748699,0.947638,1.240118
1340226,-305,23750,5840,598,-284,39,-0.756768,0.948049,1.250927
1355853,-976,24292,5130,607,-192,-45,-0.772603,0.949587,1.273519
1371480,851,24038,4794,763,39,-142,-0.779023,0.948991,1.284416
1387106,-324,23526,4304,943,202,-166,-0.789003,0.94485,1.303866
1402731,896,24334,5028,930,118,-86,-0.799727,0.940906,1.323097
1418357,-791,24882,6310,645,-365,54,-0.806293,0.940332,1.333491
1433983,650,24534,5146,466,-434,80,-0.821246,0.942226,1.356038
1449609,-711,25262,4446,410,-252,29,-0.828204,0.943315,1.366462
1465235,-864,25182,3912,611,-29,-23,-0.837415,0.943246,1.382708
1480862,468,25260,4272,822,89,-28,-0.841605,0.942314,1.390413
1496489,-394,25772,5748,925,-30,30,-0.850524,0.9402,1.40685
1512114,-952,25286,5902,864,-272,121,-0.856568,0.939929,1.416611
1537903,-511,25918,4580,624,-295,44,-0.882648,0.942448,1.458073
1553533,339,26622,3868,584,-69,-17,-0.8866,0.941894,1.466179
1569158,536,27300,4596,817,176,-67,-0.888526,0.940332,1.472189
1584784,-246,26492,5240,986,80,1,-0.891199,0.936425,1.48265
1600410,868,25930,5112,970,-248,68,-0.894825,0.935382,1.490685
1616039,223,26328,3988,933,-335,100,-0.907184,0.935638,1.513597
1631666,232,26990,3258,848,-138,-3,-0.913512,0.935897,1.525657
1647292,29,27802,2942,772,119,-129,-0.91943,0.933359,1.542248
1662919,-465,28966,3856,947,197,-109,-0.917663,0.927574,1.550003
1678544,-457,28694,4664,1060,-116,52,-0.917784,0.924934,1.555618
1694169,-558,27772,3934,1073,-360,93,-0.925678,2.218457,1.576169
1709796,-607,27326,2698,1046,-89,-13,-0.931243,2.218781,1.588994
1725421,-456,27544,2754,891,193,-143,-0.935954,2.221457,1.606055
1741046,-685,28578,2536,968,222,-161,-0.935022,2.223828,1.609604
1756672,-633,30412,2404,1025,156,-83,-0.933097,2.228966,1.618301
1772299,468,30502,2446,1129,26,-22,-0.934083,2.233461,1.632697
1787926,205,28894,2676,1267,18,6,-0.936064,2.235091,1.642195
1803552,-111,28634,2048,1136,107,-53,-0.939605,2.237872,1.66048
1819179,-739,28218,1398,917,157,-116,-0.940121,2.239383,1.666881
1834806,355,29340,938,542,146,-140,-0.938162,2.243103,1.674018
1850432,-776,31510,1496,438,-2,-134,-0.935684,2.245446,1.674303
1866058,-510,31924,1788,722,-153,59,-0.93148,2.250828,1.678347
1881684,-271,30492,1200,854,-124,42,-0.93228,2.252177,1.684559
1897310,-628,29518,1178,880,16,-12,-0.934538,2.255574,1.703381
1912937,59,30156,262,757,8,25,-0.935011,2.256262,1.708016
1928563,-578,31314,22,540,6,-49,-0.935123,2.257123,1.712207
1944189,-54,31858,456,473,-37,-31,-0.932178,2.260962,1.716429
1959816,-78,32767,688,753,-96,13,-0.930726,2.262879,1.718499
1975443,-693,32368,308,1193,-39,169,-0.931174,2.265638,1.730208
1991070,203,31656,-92,1558,28,207,-0.933803,2.265522,1.740218
2006697,-342,30668,400,1414,-60,185,-0.941051,2.263992,1.765183
2034304,-840,31886,-326,383,-320,30,-0.941051,2.263992,1.765183
2049931,640,32500,-1334,331,-254,-1,-0.945288,2.266408,1.790872
2065558,-549,32767,-1550,537,-83,-22,-0.942437,2.270883,1.795326
2081184,588,32670,-1424,703,17,11,-0.940667,2.272998,1.797831
2096811,923,32767,-836,894,32,51,-0.938599,2.275634,1.804272
2112437,-257,32767,-578,953,-30,124,-0.938096,2.276551,1.808838
2128063,477,32036,-1096,732,-184,213,-0.938746,2.277299,1.819882
2143690,-398,32076,-2200,359,-222,116,-0.941086,2.276953,1.829617
2159316,-941,32528,-2346,171,-111,2,-0.939048,2.279159,1.830353
2174941,-629,32767,-2020,375,101,-125,-0.935919,2.281452,1.828128
2190568,305,32767,-1696,821,78,-102,-0.93237,2.283841,1.826607
2206194,-603,32767,-1380,1233,-122,73,-0.92878,2.287714,1.834365
2221820,-997,32396,-2878,1305,-247,143,-0.930014,2.288323,1.844807
2237445,-445,32220,-3712,849,146,-192,-0.932311,2.290161,1.866742
2253071,389,32767,-3332,523,170,-201,-0.925723,2.295126,1.870179
2268698,-772,32767,-3920,389,5,-128,-0.921719,2.297784,1.868518
2284324,26,32767,-4472,521,-44,-95,-0.915728,2.302529,1.867793
2299950,-328,32767,-4332,1085,38,19,-0.913643,2.304687,1.870322
2315576,-356,32767,-3814,1632,121,173,-0.913876,2.305594,1.886356
2331201,-921,32767,-4018,2227,178,316,-0.916104,2.30407,1.899467
2346827,381,32458,-4318,2397,116,363,-0.923696,2.298247,1.935856
2362454,-855,32728,-5550,1473,-195,279,-0.930727,2.293351,1.974056
2378079,425,32767,-6092,761,-420,119,-0.932114,2.29327,1.98615
2393706,-231,32767,-6852,425,-458,47,-0.931407,2.29714,2.000219
2409332,-443,32767,-6756,441,-391,-5,-0.929919,2.300075,2.004058
2424959,604,32767,-7170,874,-174,-25,-0.926368,2.305588,2.011684
2440586,123,32767,-6084,1299,-3,-66,-0.924434,2.307683,2.017922
2456212,716,32438,-6230,1277,58,-70,-0.92007,2.310451,2.032616
2471839,-642,32767,-7512,585,40,-191,-0.917479,2.311645,2.037789
2487465,-417,32767,-7852,-186,9,-178,-0.909188,2.316544,2.033186
2503090,91,32767,-7116,-5,-79,5,-0.901354,2.32103,2.017738
2518717,-972,32767,-7284,540,-154,142,-0.901354,2.32103,2.017738
2534343,497,32767,-7520,1100,-4,105,-0.899272,2.322064,2.021311
2549969,-969,32767,-7964,1497,157,87,-0.898888,2.321689,2.028751
2565596,-116,32767,-9174,1664,280,26,-0.897553,2.320029,2.048135
2581223,-760,32767,-9648,1222,269,16,-0.896083,2.319297,2.057547
2596850,-336,32767,-10334,441,-24,-27,-0.892323,2.318939,2.066888
2612477,631,32767,-10030,417,-116,-55,-0.887457,2.32223,2.067727
2628104,52,32767,-9742,635,-61,-80,-0.884818,2.324373,2.068352
2643731,-732,32767,-9892,919,1,-107,-0.879105,2.328271,2.073315
2659357,-451,32767,-9622,1187,73,-100,-0.87598,2.330092,2.07792
2674984,346,32767,-9630,1200,74,-21,-0.870169,2.332302,2.090273
2690610,335,32767,-10824,969,19,63,-0.868075,2.332647,2.096553
2706237,-460,32767,-10874,380,-14,22,-0.865167,2.332879,2.104873
2721863,-775,32767,-10270,143,-113,40,-0.861649,2.334895,2.101221
2737490,313,32767,-10316,278,-42,33,-0.86016,2.335938,2.098951
2753117,-687,32767,-10564,476,-18,42,-0.857265,2.336996,2.096488
2768743,167,32767,-11250,411,-70,21,-0.85404,2.338412,2.097548
2784369,-995,32767,-11516,303,-54,15,-0.852366,2.339456,2.097505
2799996,961,32767,-11444,211,-76,10,-0.850643,2.340481,2.096833
2815622,620,32767,-11622,-77,-95,36,-0.847595,2.342469,2.092885
2831249,-754,32767,-11256,-258,-114,73,-0.84628,2.343521,2.088392
2846876,-187,32767,-10790,-152,-53,62,-0.845104,2.344528,2.077574
2862501,234,32767,-11250,-43,-3,-14,-0.843178,2.34544,2.067573
2878128,-630,32767,-11738,155,36,-60,-0.843178,2.34544,2.067573
2893755,-362,32767,-11936,382,-53,-16,-0.837437,2.34861,2.059499
2909380,405,32767,-11950,448,-104,100,-0.835992,2.349694,2.061201
2925007,410,32767,-11782,86,-92,149,-0.835216,2.350135,2.065637
2940634,-84,32767,-11458,-194,-59,54,-0.835359,2.34993,2.063951
2956260,531,32767,-11444,-74,-14,-63,-0.833548,2.351151,2.054272
2971886,-49,32767,-12182,269,-51,-8,-0.830063,2.353463,2.049147
2987512,-291,32767,-12270,418,-64,21,-0.828646,2.354464,2.049821
3015290,584,32767,-11752,179,-75,28,-0.828646,2.354464,2.049821
3030915,169,32767,-11078,-375,-116,3,-0.824482,2.357355,2.054244
3046542,-711,32767,-11672,-483,-223,-33,-0.822622,2.359495,2.040679
3062173,462,32767,-11484,-57,-101,-68,-0.81982,2.363148,2.02952
