ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
4128,22028,12162,8,-62,-4,23690,4766,5196,-43,21,11,0,0,0,0,0,0,0,0,0,0,0,0
4168,22044,12136,28,-60,-5,23794,4806,5098,-37,20,14,0,0,0,0,0,0,0,0,0,0,0,0
4126,22090,12176,31,-59,-3,23782,4804,5070,-31,25,13,0,0,0,0,0,0,0,0,0,0,0,0
4148,22232,12068,20,-60,-5,23750,4786,5038,-24,28,12,0,0,0,0,0,0,0,0,0,0,0,0
4108,22188,12196,17,-56,-6,23690,4820,5108,-20,22,16,0,0,0,0,0,0,0,0,0,0,0,0
4130,22180,12292,17,-55,-4,23720,4838,5122,-21,16,14,0,0,0,0,0,0,0,0,0,0,0,0
4138,22202,12294,2,-56,-3,23726,4874,5124,-21,18,12,0,0,0,0,0,0,0,0,0,0,0,0
4126,22152,12234,-3,-61,-1,23734,4868,5068,-24,26,12,0,0,0,0,0,0,0,0,0,0,0,0
4154,22082,12106,6,-59,0,23692,4816,5066,-29,30,10,0,0,0,0,0,0,0,0,0,0,0,0
4154,22070,12206,13,-56,-2,23736,4820,5252,-28,24,10,0,0,0,0,0,0,0,0,0,0,0,0
4126,22040,12196,19,-56,2,23756,4770,5114,-17,20,12,0,0,0,0,0,0,0,0,0,0,0,0
4132,22114,12166,17,-52,-3,23818,4782,5026,-8,22,14,0,0,0,0,0,0,0,0,0,0,0,0
4090,22088,12202,16,-51,-1,23790,4904,5090,-7,33,10,0,0,0,0,0,0,0,0,0,0,0,0
4110,22102,12184,25,-56,-2,23676,4902,5156,-9,36,8,0,0,0,0,0,0,0,0,0,0,0,0
4158,22158,12254,35,-60,0,23760,4866,5186,-7,30,7,0,0,0,0,0,0,0,0,0,0,0,0
4194,22182,12170,33,-57,-2,23864,4840,5150,-6,22,4,0,0,0,0,0,0,0,0,0,0,0,0
4108,22198,12214,26,-51,-1,23836,4860,5092,-13,30,3,0,0,0,0,0,0,0,0,0,0,0,0
4094,22102,12206,23,-54,2,23736,4852,5058,-9,34,6,0,0,0,0,0,0,0,0,0,0,0,0
4114,22140,12212,25,-57,-1,23638,4946,5164,-5,31,8,0,0,0,0,0,0,0,0,0,0,0,0
4212,22124,12214,33,-58,-3,23664,4948,5076,-23,25,8,0,0,0,0,0,0,0,0,0,0,0,0
4240,22116,12232,42,-60,-5,23642,4844,4982,-37,24,5,0,0,0,0,0,0,0,0,0,0,0,0
4180,22226,12148,41,-55,-5,23682,4762,5110,-43,25,7,0,0,0,0,0,0,0,0,0,0,0,0
4164,22230,12096,30,-55,-7,23712,4752,5168,-36,20,11,0,0,0,0,0,0,0,0,0,0,0,0
4106,22306,12206,29,-55,-4,23766,4784,5072,-15,15,13,0,0,0,0,0,0,0,0,0,0,0,0
4130,22284,12134,9,-51,-7,23816,4910,5042,-9,18,12,0,0,0,0,0,0,0,0,0,0,0,0
4002,22066,12198,-14,-52,-7,23690,4954,5034,-29,32,10,0,0,0,0,0,0,0,0,0,0,0,0
4062,21998,12234,17,-61,-5,23620,4904,5130,-44,26,8,0,0,0,0,0,0,0,0,0,0,0,0
4126,22138,12206,35,-66,-3,23680,4824,5146,-38,13,8,0,0,0,0,0,0,0,0,0,0,0,0
4170,22236,12172,26,-62,-2,23812,4772,5040,-32,15,7,0,0,0,0,0,0,0,0,0,0,0,0
4146,22210,12166,9,-56,0,23782,4724,5128,-22,25,8,0,0,0,0,0,0,0,0,0,0,0,0
4086,22144,12182,3,-56,-2,23746,4788,5160,-8,25,12,0,0,0,0,0,0,0,0,0,0,0,0
4084,22054,12218,8,-59,-4,23772,4896,5136,-8,17,11,0,0,0,0,0,0,0,0,0,0,0,0
4162,22060,12148,22,-62,-5,23860,4946,5066,-11,19,9,0,0,0,0,0,0,0,0,0,0,0,0
4144,22200,12138,32,-61,-4,23774,4884,5132,-28,34,4,0,0,0,0,0,0,0,0,0,0,0,0
4186,22256,12154,21,-59,-3,23710,4836,5126,-30,38,1,0,0,0,0,0,0,0,0,0,0,0,0
4200,22234,12212,8,-57,-2,23712,4824,5120,-19,28,3,0,0,0,0,0,0,0,0,0,0,0,0
4174,22146,12196,-8,-56,-3,23756,4840,5026,-9,22,4,0,0,0,0,0,0,0,0,0,0,0,0
4228,22040,12174,0,-56,-5,23752,4856,5072,5,17,9,0,0,0,0,0,0,0,0,0,0,0,0
4168,21996,12248,27,-58,-5,23800,4962,5064,-1,20,10,0,0,0,0,0,0,0,0,0,0,0,0
4154,22096,12176,47,-57,-4,23728,4902,5092,-15,25,0,0,0,0,0,0,0,0,0,0,0,0,0
4146,22198,12160,43,-55,-10,23752,4958,5070,-26,28,1,0,0,0,0,0,0,0,0,0,0,0,0
4154,22292,12212,21,-48,-7,23668,4928,5130,-33,31,-1,0,0,0,0,0,0,0,0,0,0,0,0
4104,22324,12254,10,-50,-10,23664,4858,5086,-37,28,-1,0,0,0,0,0,0,0,0,0,0,0,0
4130,22160,12192,-2,-57,-9,23668,4822,5086,-29,20,1,0,0,0,0,0,0,0,0,0,0,0,0
4142,21988,12096,5,-60,-6,23736,4834,5070,-13,18,3,0,0,0,0,0,0,0,0,0,0,0,0
4124,21922,12176,32,-55,-6,23778,4842,5116,-12,19,3,0,0,0,0,0,0,0,0,0,0,0,0
