ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
4986,32767,4000,37,-64,-8,23446,18622,-1734,-42,28,8
5068,32767,3946,34,-59,-8,23468,18594,-1766,-45,26,5
5064,32767,3958,35,-54,-3,23492,18632,-1776,-48,25,7
4914,32767,3946,31,-55,-5,23492,18602,-1756,-52,27,6
5014,32767,3978,7,-55,-7,23524,18560,-1728,-50,31,7
4978,32767,3936,-12,-54,-11,23474,18556,-1736,-43,37,4
4934,32767,4036,0,-51,-6,23420,18496,-1696,-36,40,7
4976,32767,4062,16,-52,-5,23410,18468,-1756,-19,31,6
4978,32767,4078,17,-51,-6,23480,18556,-1782,-8,20,8
4940,32767,4058,14,-51,-3,23586,18556,-1788,-9,17,9
4964,32767,3950,10,-56,-7,23594,18636,-1832,-11,24,8
4924,32767,4012,20,-54,-6,23570,18672,-1748,-19,31,8
5004,32767,3992,42,-57,0,23524,18660,-1814,-29,37,7
5042,32767,3918,38,-56,0,23442,18640,-1780,-39,33,2
5024,32767,3958,25,-50,-5,23464,18598,-1758,-41,31,0
5024,32767,3908,19,-52,-2,23458,18460,-1708,-34,26,4
4906,32767,3978,13,-54,-7,23556,18482,-1790,-15,21,8
4956,32767,3970,15,-56,-9,23504,18532,-1730,3,25,8
4952,32767,3934,27,-54,-4,23534,18642,-1760,-1,29,9
4972,32767,3972,24,-53,-6,23442,18648,-1780,-21,29,9
4984,32767,4046,17,-54,-7,23460,18606,-1790,-44,29,7
4966,32767,4096,11,-58,-4,23420,18590,-1784,-44,28,7
4988,32767,4030,8,-60,-7,23424,18610,-1780,-34,24,7
4974,32767,3952,29,-60,-5,23498,18630,-1736,-34,22,9
4996,32767,3892,41,-57,-1,23550,18568,-1750,-45,23,11
4910,32767,3874,37,-50,-4,23520,18518,-1778,-41,23,9
4924,32767,3948,20,-51,-7,23562,18434,-1660,-30,28,8
4934,32767,3986,2,-57,-9,23452,18514,-1684,-20,33,9
4976,32767,3982,-13,-61,-5,23418,18536,-1670,-11,27,6
5020,32767,4002,-22,-58,-9,23488,18646,-1836,-6,13,9
4902,32767,3984,-1,-58,-4,23612,18676,-1766,-16,8,10
4970,32767,4020,26,-58,-3,23538,18648,-1768,-32,25,6
4976,32767,3966,41,-50,-5,23478,18654,-1796,-35,32,7
5004,32767,4028,58,-56,2,23430,18562,-1734,-37,30,6
4984,32767,3966,35,-62,-3,23446,18592,-1764,-29,23,6
5002,32767,3922,13,-62,-9,23494,18568,-1804,-33,17,9
4960,32767,3920,7,-60,-8,23548,18558,-1676,-37,20,5
4970,32767,3926,8,-53,-9,23610,18552,-1734,-33,26,5
4978,32767,3988,0,-47,-13,23490,18536,-1846,-29,30,4
4912,32767,4040,-1,-53,-10,23446,18578,-1796,-26,18,4
4980,32767,4016,1,-62,-10,23508,18572,-1720,-27,13,7
5016,32767,4026,3,-59,-10,23554,18536,-1756,-28,13,7
5004,32767,3946,7,-57,-10,23570,18608,-1692,-38,19,6
4976,32767,3950,18,-51,-8,23504,18582,-1752,-42,26,7
4912,32767,4008,33,-54,-5,23426,18534,-1752,-32,31,9
4966,32767,3934,17,-61,-10,23392,18540,-1840,-23,26,9
5002,32767,3906,2,-63,-14,23426,18534,-1736,-26,17,11
4998,32767,3972,-2,-55,-16,23554,18584,-1724,-34,12,6
4896,32767,4006,14,-52,-13,23580,18570,-1688,-36,18,6
4952,32767,4000,18,-51,-8,23548,18560,-1660,-36,20,5
4892,32767,4002,13,-51,-7,23524,18530,-1696,-29,26,3
4886,32767,4098,2,-58,-8,23506,18480,-1748,-17,26,6
4936,32767,4090,0,-60,-8,23424,18546,-1768,-7,23,10
4996,32767,4090,13,-61,-9,23474,18604,-1652,-3,18,9
4986,32767,3978,31,-58,-6,23500,18618,-1826,-13,21,11
4988,32767,3898,37,-55,-2,23492,18640,-1782,-28,27,10
4942,32767,3926,38,-53,-5,23418,18536,-1692,-39,27,10
4934,32767,3948,20,-57,-7,23470,18506,-1776,-41,17,11
4902,32767,4046,2,-56,-5,23522,18484,-1802,-29,11,8
4876,32767,4018,7,-56,-4,23628,18554,-1684,-11,8,6
4948,32767,4020,9,-58,-1,23674,18498,-1666,3,10,6
4996,32767,3954,11,-60,0,23644,18576,-1720,15,19,8
4960,32767,4088,28,-60,1,23618,18578,-1838,8,29,12
5004,32767,4042,54,-66,3,23492,18640,-1836,-6,34,11
5080,32767,4022,69,-67,3,23416,18810,-1810,-11,21,8
5112,32767,3832,64,-58,-3,23512,18814,-1842,-22,12,9
5022,32767,3852,52,-50,-3,23556,18720,-1802,-52,24,8
4990,32767,3828,36,-52,-2,23524,18626,-1766,-80,28,6
4968,32767,3870,20,-56,-6,23534,18472,-1740,-75,27,1
4968,32767,3898,0,-56,-13,23474,18432,-1744,-55,29,2
4866,32767,4022,-19,-53,-10,23444,18390,-1754,-39,27,7
4886,32767,4054,-33,-62,-17,23412,18442,-1774,-19,22,8
5032,32767,4048,-28,-65,-14,23380,18548,-1776,9,9,11
5028,32767,3924,0,-57,-9,23492,18650,-1734,13,-2,11
4914,32767,3990,34,-53,-7,23572,18722,-1840,0,-4,16
4864,32767,4044,55,-57,-2,23666,18678,-1774,-16,8,13
4962,32767,4042,47,-61,-5,23632,18652,-1706,-24,20,8
4994,32767,3900,34,-63,-4,23604,18640,-1714,-33,32,9
4978,32767,3928,26,-58,-1,23482,18548,-1790,-44,35,8
4992,32767,3998,8,-63,-6,23440,18502,-1804,-48,26,8
5052,32767,3950,-3,-61,-9,23538,18520,-1824,-39,18,10
5058,32767,3868,9,-54,-8,23570,18554,-1732,-20,11,7
5020,32767,3930,3,-47,-9,23566,18642,-1692,-17,14,6
4920,32767,4030,10,-48,-8,23562,18608,-1688,-21,23,9
4894,32767,4040,14,-57,-5,23502,18498,-1714,-24,30,9
5060,32767,3908,10,-69,-7,23442,18508,-1752,-15,28,8
5064,32767,3944,20,-61,-6,23476,18548,-1780,-4,19,10
4966,32767,3946,26,-49,-4,23582,18680,-1826,-8,6,11
4902,32767,3940,20,-50,-8,23708,18664,-1840,-32,21,6
4940,32767,3968,15,-59,-6,23558,18650,-1808,-43,39,3
5022,32767,3956,4,-61,-5,23392,18564,-1822,-45,38,3
5058,32767,3972,5,-59,-6,23424,18468,-1710,-38,22,2
5046,32767,3940,1,-54,-6,23564,18460,-1754,-25,7,7
4942,32767,3960,8,-52,-7,23650,18512,-1722,-9,10,9
4924,32767,4018,21,-56,-8,23594,18616,-1756,0,25,9
5008,32767,3966,17,-55,-7,23516,18706,-1812,-4,31,9
4974,32767,3918,15,-53,-5,23458,18704,-1774,-19,26,6
5006,32767,3962,7,-56,-4,23492,18632,-1778,-34,22,3
5052,32767,3930,12,-58,-4,23520,18630,-1808,-39,24,6
5052,32767,3846,17,-58,-6,23490,18544,-1840,-43,27,8
5046,32767,3922,25,-53,-8,23528,18582,-1736,-39,24,9
4992,32767,3924,23,-49,-9,23568,18594,-1704,-30,17,5
4938,32767,4004,16,-49,-9,23622,18564,-1674,-28,19,6
4898,32767,4010,-10,-55,-9,23550,18508,-1750,-28,26,6
5000,32767,3960,-26,-62,-9,23594,18482,-1772,-21,30,6
5016,32767,4074,-15,-64,-10,23426,18580,-1816,-10,27,11
5052,32767,4026,21,-59,-4,23498,18714,-1778,-1,14,10
5080,32767,4000,38,-53,-6,23646,18740,-1752,-8,5,8
4966,32767,3928,43,-48,-6,23660,18720,-1746,-38,19,3
4916,32767,3948,40,-50,-3,23584,18644,-1816,-54,40,4
4946,32767,3982,21,-59,-6,23468,18474,-1802,-56,40,6
5046,32767,3962,-3,-62,-11,23394,18396,-1726,-47,29,3
5028,32767,3938,0,-54,-8,23458,18394,-1694,-26,13,4
4952,32767,4000,11,-50,-9,23612,18540,-1728,6,7,9
4890,32767,4086,13,-57,-10,23662,18678,-1778,6,20,9
5000,32767,4050,11,-65,-6,23566,18682,-1736,-13,31,8
5004,32767,3942,15,-63,-5,23490,18630,-1786,-36,33,5
4982,32767,3888,32,-57,-6,23506,18542,-1842,-42,23,5
4966,32767,4030,41,-56,-5,23550,18548,-1856,-31,15,6
4974,32767,4020,27,-54,-11,23546,18548,-1740,-22,14,5
4956,32767,3960,5,-55,-7,23462,18640,-1622,-29,24,5
5024,32767,3950,8,-56,-7,23476,18590,-1730,-50,28,12
4978,32767,3962,13,-56,-9,23512,18526,-1738,-51,21,9
4964,32767,3958,11,-57,-9,23524,18518,-1738,-33,21,7
4932,32767,3904,14,-51,-7,23486,18540,-1692,-20,19,7
4924,32767,3978,12,-51,-8,23510,18552,-1808,-29,14,10
4866,32767,4050,8,-59,-8,23604,18618,-1782,-31,11,10
4878,32767,4014,2,-63,-7,23644,18630,-1748,-19,9,7
5008,32767,3962,0,-62,-11,23654,18680,-1766,-15,17,8
5012,32767,4022,32,-63,-2,23588,18666,-1756,-13,36,9
5022,32767,3968,33,-63,-4,23718,18598,-1872,26,55,2
5006,32767,3928,24,-60,-6,23772,18764,-1942,129,87,-14
5016,32767,3918,26,-58,-3,23532,18996,-1910,142,97,-15
5004,32767,3974,16,-53,-7,23372,18912,-1674,19,89,-13
4966,32767,3968,-11,-55,-17,23276,18542,-1710,-86,70,-21
4878,32767,4130,-24,-50,-20,23416,18278,-1776,-91,52,-23
4952,32767,4130,-33,-59,-36,23492,18208,-1922,-24,39,-14
4928,32767,4048,-22,-71,-23,23486,18458,-1802,37,42,3
4878,32767,4066,-11,-71,-16,23416,18618,-1742,39,42,13
5002,32767,3994,-7,-70,-18,23412,18698,-1750,44,38,14
5054,32767,3844,17,-60,-15,23464,18748,-1908,49,33,9
4980,32767,3916,50,-49,-8,23546,18836,-1998,48,41,1
4930,32767,4016,68,-49,-6,23530,18930,-2038,36,53,-1
4928,32767,4036,43,-60,-5,23414,18854,-1914,-13,60,-9
4966,32767,3970,-8,-57,-14,23314,18678,-1890,-66,53,-8
4902,32767,4044,-18,-59,-11,23342,18492,-1868,-74,37,-7
4958,32767,4070,-14,-61,-18,23462,18436,-1866,-18,27,-4
4922,32767,4090,0,-73,-17,23514,18572,-1974,21,30,1
4942,32767,4010,21,-75,-6,23520,18752,-1994,35,36,8
5016,32767,3974,29,-70,-9,23422,18854,-1932,17,40,11
4992,32767,3932,44,-65,-9,23366,18774,-1878,-3,39,6
5004,32767,3918,52,-58,-8,23352,18780,-1816,-2,48,0
5008,32767,3974,49,-53,-6,23390,18664,-2018,11,54,-3
4920,32767,3980,27,-56,-8,23398,18750,-2002,33,63,-9
4842,32767,4008,-1,-61,-9,23418,18866,-2038,11,62,-5
4852,32767,4102,-4,-62,-10,23350,18776,-1916,-28,54,-5
4926,32767,4016,4,-62,-17,23414,18686,-1876,-43,50,-19
4934,32767,4120,28,-61,-9,23462,18664,-1890,-5,65,-19
4884,32767,4154,47,-71,-3,23386,18632,-1978,43,89,-16
4894,32767,4034,34,-83,-7,23238,18614,-2118,30,102,-18
4950,32767,4132,20,-98,2,23028,18598,-1964,0,88,-6
4936,32767,4154,21,-106,3,23038,18554,-2028,12,44,-3
4862,32767,4142,40,-112,10,23440,18732,-2092,55,13,-15
4772,32767,4262,76,-129,17,23510,18858,-2016,63,38,-13
4866,32767,4232,73,-142,27,23460,18848,-2052,34,77,-9
4990,32767,4088,83,-152,38,23276,18860,-2122,9,94,-10
5104,32767,4056,82,-159,36,23130,18866,-2198,-10,80,-10
5122,32767,4006,96,-160,33,23144,18806,-2228,-27,48,-16
5176,32767,4002,63,-157,17,23200,18772,-2136,-42,54,-25
5136,32767,3836,63,-157,32,23188,18766,-1930,-31,47,-10
4974,32767,4044,57,-202,35,23258,18800,-2148,-8,46,-6
4884,32767,4568,-42,-199,16,23236,18820,-2230,4,63,-14
4856,32767,4518,0,-249,64,23158,18902,-2122,-7,68,-12
5124,32767,4022,34,-276,72,23144,18892,-2094,-5,57,-10
5224,32767,4060,13,-277,79,23136,18848,-2224,-14,51,-14
4992,32767,4496,21,-324,91,23162,18692,-2192,-24,54,-7
5016,32767,4530,20,-350,114,23124,18580,-2182,3,47,-7
5178,32767,4676,-28,-402,127,23080,18552,-2232,28,43,-11
5180,32767,4658,-35,-451,154,23056,18590,-2046,78,39,-11
5220,32767,4684,-36,-499,171,23092,18748,-2000,90,46,-17
5336,32767,4594,3,-547,186,23046,18936,-2032,91,43,-21
5454,32767,4774,-15,-590,200,23054,18908,-2232,56,37,-26
5614,32767,5138,-67,-676,199,23078,18846,-2350,45,37,-28
5510,32767,5136,-77,-657,219,23114,18836,-2454,48,43,-24
5642,32767,4930,-88,-750,216,22996,18822,-2254,61,37,-19
6036,32767,4578,-54,-792,240,22898,18752,-2250,59,31,-18
6362,32767,4510,-25,-823,250,22870,18780,-2298,103,21,-15
6392,32767,4488,18,-825,258,22960,18850,-2412,152,5,-16
6486,32767,4564,44,-847,257,23112,19026,-2516,181,3,-17
6730,32767,4418,37,-867,269,23166,19102,-2516,186,19,-12
7048,32767,4368,17,-877,264,23134,19216,-2434,167,31,-4
7280,32767,4200,28,-871,261,23070,19162,-2452,130,32,-4
7386,32767,4292,58,-876,260,23036,19048,-2480,98,28,-13
7512,32767,4266,91,-880,261,23076,19120,-2684,94,28,-22
7804,32767,4194,98,-875,255,23072,19162,-2826,123,34,-18
8168,32767,4142,63,-870,236,23030,19282,-2792,125,29,6
8276,32767,4224,47,-859,243,23154,19176,-2650,108,20,5
8296,32767,4302,30,-865,250,23210,19186,-2666,114,34,-16
8340,32767,4260,57,-872,262,23112,19208,-2734,101,52,-26
8476,32767,4216,86,-881,260,22958,19188,-2718,75,62,-16
8830,32767,4070,82,-903,241,22886,19162,-2910,77,61,-6
9148,32767,4090,64,-907,240,22860,19242,-3024,129,45,4
