ax,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
5248,32767,334,17,-56,-5,24102,19612,-3168,-16,26,11
5232,32767,264,25,-55,-3,24172,19658,-3178,-24,23,8
5268,32767,98,39,-58,-3,24244,19568,-3188,-42,21,5
5254,32767,196,48,-57,-2,24204,19516,-3192,-53,27,6
5286,32767,120,35,-55,-1,24166,19386,-3090,-36,32,8
5290,32767,210,20,-50,-7,24134,19398,-3166,-24,26,10
5262,32767,134,7,-54,-6,24172,19530,-3108,-12,19,10
5310,32767,134,-9,-55,-9,24176,19576,-3092,-6,17,9
5264,32767,208,-1,-56,-10,24184,19580,-3160,-23,19,5
5242,32767,232,3,-56,-6,24204,19528,-3134,-32,23,7
5232,32767,278,9,-57,-7,24246,19500,-3098,-29,27,7
5258,32767,204,24,-53,-5,24152,19452,-3090,-21,24,6
5250,32767,246,24,-59,-4,24254,19504,-3112,-12,17,8
5230,32767,230,27,-59,-6,24256,19496,-3198,-20,24,11
5214,32767,176,33,-62,-4,24126,19478,-3166,-26,36,11
5310,32767,198,28,-57,-5,24100,19582,-3170,-26,27,16
5338,32767,130,29,-55,-4,24084,19568,-3114,-22,12,14
5268,32767,78,19,-49,-10,24232,19560,-3202,-27,9,9
5194,32767,142,0,-49,-8,24252,19596,-3082,-41,20,7
5218,32767,158,1,-52,-4,24194,19458,-2994,-48,31,8
5274,32767,210,-1,-62,-6,24114,19332,-3148,-35,27,6
5308,32767,178,1,-61,-3,24164,19386,-3258,-9,18,7
5284,32767,230,21,-55,-6,24196,19602,-3200,11,17,11
5232,32767,218,26,-54,-6,24220,19748,-3178,-4,19,11
5250,32767,192,18,-51,-5,24264,19728,-3132,-36,18,6
5256,32767,198,36,-52,0,24188,19584,-3158,-59,28,2
5198,32767,122,28,-59,0,24142,19464,-3050,-62,36,3
5288,32767,132,15,-60,-7,24054,19350,-3052,-48,27,5
5346,32767,182,14,-62,-8,24132,19358,-3034,-23,14,12
5338,32767,112,2,-57,-9,24304,19426,-3068,1,7,13
5198,32767,244,2,-54,-12,24316,19562,-3184,7,18,10
5236,32767,310,4,-57,-7,24184,19716,-3208,-17,36,6
5218,32767,306,3,-54,-7,24144,19578,-3142,-33,30,4
5270,32767,166,5,-57,-3,24064,19508,-3102,-45,19,3
5308,32767,204,9,-59,-9,24180,19504,-3080,-49,9,6
5274,32767,268,25,-59,-5,24288,19482,-3172,-43,11,9
5272,32767,212,31,-61,-8,24268,19456,-3196,-18,23,11
5232,32767,210,25,-56,-6,24172,19558,-3224,-5,34,10
5260,32767,150,22,-55,-4,24090,19592,-3184,-22,36,9
5306,32767,136,19,-52,-5,24038,19512,-3080,-34,20,9
5344,32767,88,7,-51,-10,24208,19520,-3122,-38,5,8
5258,32767,144,-2,-54,-12,24332,19506,-3222,-36,9,7
5220,32767,234,4,-55,-6,24282,19566,-3126,-33,35,5
5188,32767,346,-11,-55,-11,24146,19490,-3134,-33,37,6
5218,32767,294,-17,-59,-8,24060,19504,-3176,-31,27,6
5284,32767,202,19,-57,-6,24070,19442,-3136,-28,14,8
5284,32767,144,26,-56,-8,24244,19476,-3240,-11,6,12
5300,32767,180,31,-61,-3,24314,19658,-3164,-5,24,12
5206,32767,190,26,-59,-5,24196,19644,-3122,-27,36,8
5240,32767,198,11,-57,-4,24148,19584,-3160,-65,31,4
5318,32767,120,3,-57,-7,24104,19420,-3006,-73,24,4
5260,32767,170,11,-56,-10,24198,19328,-3094,-61,20,4
5268,32767,184,4,-61,-10,24212,19388,-3136,-38,18,3
5276,32767,214,-6,-64,-12,24224,19420,-3154,-6,19,8
5186,32767,316,-4,-58,-7,24224,19460,-3158,17,20,9
5264,32767,220,-3,-58,-6,24160,19558,-3114,-2,20,10
5232,32767,174,20,-54,-10,24208,19658,-3160,-9,17,13
5324,32767,132,54,-56,2,24256,19714,-3158,-17,17,10
5310,32767,208,46,-54,-4,24276,19704,-3176,-36,29,8
5252,32767,130,26,-56,-5,24222,19554,-3226,-64,36,4
5226,32767,104,5,-54,-2,24104,19400,-3066,-74,35,2
5226,32767,76,5,-54,-11,24086,19360,-2998,-58,21,6
5252,32767,174,-1,-53,-10,24218,19394,-3022,-32,9,5
5184,32767,254,-7,-56,-9,24348,19450,-3096,-2,12,3
5158,32767,326,-19,-57,-13,24212,19450,-3176,1,27,7
5164,32767,312,-4,-63,-6,24088,19502,-3182,-1,34,12
5328,32767,320,17,-63,-5,24080,19604,-3212,2,20,13
5358,32767,188,28,-54,-7,24180,19698,-3218,1,9,8
5284,32767,206,50,-49,-1,24318,19782,-3226,-15,13,11
5202,32767,132,46,-49,-2,24348,19632,-3108,-51,31,4
