elbow_0
Module: 78:21:84:DF:61:54 (01)
t(us),ax,ay,az,gx,gy,gz,y,p,r
1,5248,32767,334,17,-56,-5,0.000220,0.002194,0.021851
15628,5232,32767,264,25,-55,-3,-0.000026,0.011334,0.069115
31254,5268,32767,98,39,-58,-3,-0.000246,0.014377,0.085000
46883,5254,32767,196,48,-57,-2,-0.000596,0.020560,0.116914
62510,5286,32767,120,35,-55,-1,-0.001267,0.026728,0.148870
78135,5290,32767,210,20,-50,-7,-0.001730,0.029748,0.164687
93762,5262,32767,134,7,-54,-6,-0.002416,0.035613,0.195872
109388,5310,32767,134,-9,-55,-9,-0.002891,0.038599,0.211237
125015,5264,32767,208,-1,-56,-10,-0.003851,0.044531,0.241536
140641,5242,32767,232,3,-56,-6,-0.004325,0.047352,0.256714
156267,5232,32767,278,9,-57,-7,-0.005416,0.053077,0.286875
171893,5258,32767,204,24,-53,-5,-0.006022,0.055861,0.301997
187520,5250,32767,246,24,-59,-4,-0.007488,0.061410,0.332311
203146,5230,32767,230,27,-59,-6,-0.009091,0.066784,0.362205
218773,5214,32767,176,33,-62,-4,-0.009909,0.069498,0.377195
234399,5310,32767,198,28,-57,-5,-0.011637,0.074768,0.406783
250026,5338,32767,130,29,-55,-4,-0.012545,0.077317,0.421477
265652,5268,32767,78,19,-49,-10,-0.014469,0.082377,0.450484
281278,5194,32767,142,0,-49,-8,-0.015334,0.084736,0.464774
296904,5218,32767,158,1,-52,-4,-0.017237,0.089325,0.492709
312530,5274,32767,210,-1,-62,-6,-0.018278,0.091554,0.506474
328156,5308,32767,178,1,-61,-3,-0.020269,0.096131,0.533686
343782,5284,32767,230,21,-55,-6,-0.022482,0.100563,0.560692
359409,5232,32767,218,26,-54,-6,-0.023678,0.102704,0.574200
375036,5250,32767,192,18,-51,-5,-0.025886,0.106763,0.600877
390661,5256,32767,198,36,-52,0,-0.028242,0.110551,0.627250
406287,5198,32767,122,28,-59,0,-0.029575,0.112616,0.640313
421913,5288,32767,132,15,-60,-7,-0.030771,0.114513,0.653150
437539,5346,32767,182,14,-62,-8,-0.033182,0.118154,0.678298
453165,5338,32767,112,2,-57,-9,-0.035551,0.121686,0.702899
468791,5198,32767,244,2,-54,-12,-0.036797,0.123402,0.714878
484418,5236,32767,310,4,-57,-7,-0.039091,0.126387,0.738567
500043,5218,32767,306,3,-54,-7,-0.040222,0.127902,0.750104
515668,5270,32767,166,5,-57,-3,-0.042615,0.130815,0.772998
531294,5308,32767,204,9,-59,-9,-0.045183,0.133709,0.795566
546921,5274,32767,268,25,-59,-5,-0.046356,0.135034,0.806714
562547,5272,32767,212,31,-61,-8,-0.047660,0.136385,0.817860
578173,5232,32767,210,25,-56,-6,-0.050216,0.139007,0.839933
593799,5260,32767,150,22,-55,-4,-0.052685,0.141359,0.861234
609425,5306,32767,136,19,-52,-5,-0.053841,0.142386,0.871769
625051,5344,32767,88,7,-51,-10,-0.056427,0.144617,0.892300
640678,5258,32767,144,-2,-54,-12,-0.057579,0.145608,0.902296
656305,5220,32767,234,4,-55,-6,-0.059862,0.147474,0.921792
671931,5188,32767,346,-11,-55,-11,-0.060977,0.148345,0.931237
687557,5218,32767,294,-17,-59,-8,-0.063195,0.150061,0.949588
703183,5284,32767,202,19,-57,-6,-0.064312,0.150912,0.958549
718809,5284,32767,144,26,-56,-8,-0.066623,0.152545,0.976920
734435,5300,32767,180,31,-61,-3,-0.068908,0.154031,0.994967
750061,5206,32767,190,26,-59,-5,-0.070200,0.154872,1.003886
765688,5240,32767,198,11,-57,-4,-0.072538,0.156265,1.021165
781315,5318,32767,120,3,-57,-7,-0.073597,0.156836,1.029479
796942,5260,32767,170,11,-56,-10,-0.075758,0.158051,1.045787
812569,5268,32767,184,4,-61,-10,-0.076817,0.158595,1.053832
828195,5276,32767,214,-6,-64,-12,-0.078805,0.159615,1.069382
843821,5186,32767,316,-4,-58,-7,-0.080791,0.160634,1.084347
859448,5264,32767,220,-3,-58,-6,-0.081771,0.161067,1.091629
875075,5232,32767,174,20,-54,-10,-0.083794,0.162007,1.106039
890701,5324,32767,132,54,-56,2,-0.084749,0.162305,1.113376
906327,5310,32767,208,46,-54,-4,-0.087104,0.163279,1.128360
921954,5252,32767,130,26,-56,-5,-0.089176,0.163988,1.142610
937580,5226,32767,104,5,-54,-2,-0.090280,0.164450,1.149313
953205,5226,32767,76,5,-54,-11,-0.091197,0.164730,1.155940
968831,5252,32767,174,-1,-53,-10,-0.092952,0.165207,1.168704
984457,5184,32767,254,-7,-56,-9,-0.094597,0.165627,1.180998
1000083,5158,32767,326,-19,-57,-13,-0.095421,0.165816,1.186966
1015709,5164,32767,312,-4,-63,-6,-0.096806,0.166089,1.198195
1031336,5328,32767,320,17,-63,-5,-0.097710,0.166379,1.203976
1046962,5358,32767,188,28,-54,-7,-0.099338,0.166746,1.215560
1062589,5284,32767,206,50,-49,-1,-0.101263,0.167193,1.227265
1078216,5202,32767,132,46,-49,-2,-0.102171,0.167301,1.233190
1093842,5248,32767,110,31,-52,-2,-0.103107,0.167522,1.238786
1109467,5282,32767,48,37,-56,1,-0.104846,0.167774,1.249752
1125094,5248,32767,152,20,-59,-5,-0.106640,0.168150,1.260552
1140720,5338,32767,164,-2,-60,-10,-0.107373,0.168218,1.265595
1156346,5294,32767,254,-21,-57,-13,-0.108679,0.168329,1.274971
1171973,5182,32767,312,-22,-57,-13,-0.109352,0.168446,1.279301
1187599,5228,32767,264,-18,-59,-13,-0.110363,0.168339,1.287838
1203225,5208,32767,314,10,-53,-10,-0.110848,0.168282,1.291982
1218852,5178,32767,252,31,-58,-2,-0.112119,0.168245,1.300958
1234477,5260,32767,198,31,-63,-7,-0.113573,0.168371,1.309850
1250103,5330,32767,182,46,-67,-2,-0.114293,0.168443,1.314256
1265730,5288,32767,80,41,-57,-4,-0.115863,0.168630,1.323241
1281356,5140,32767,112,46,-52,-6,-0.116614,0.168666,1.327632
1296983,5224,32767,116,36,-55,-4,-0.117923,0.168565,1.336225
1312610,5244,32767,80,12,-59,-6,-0.118631,0.168616,1.340270
1328237,5252,32767,218,-13,-59,-8,-0.119721,0.168552,1.347729
1343863,5168,32767,338,-26,-56,-6,-0.120194,0.168497,1.351049
1359488,5216,32767,194,-24,-66,-9,-0.121079,0.168440,1.357265
1375115,5302,32767,268,0,-65,-10,-0.121876,0.168292,1.363481
1390741,5286,32767,300,42,-62,-2,-0.122436,0.168311,1.366817
1406368,5294,32767,228,45,-55,-8,-0.123653,0.168273,1.373992
1421995,5230,32767,232,44,-55,-6,-0.124261,0.168249,1.377484
1437622,5212,32767,116,40,-55,-1,-0.125390,0.168128,1.384375
1453248,5306,32767,46,33,-56,-5,-0.126568,0.168089,1.391013
1468882,5290,32767,44,31,-57,-8,-0.127162,0.168080,1.394239
1484509,5222,32767,156,9,-54,-9,-0.127663,0.167990,1.397464
1500135,5204,32767,154,-6,-57,-10,-0.128492,0.167778,1.403205
1515761,5232,32767,150,-28,-61,-11,-0.129081,0.167453,1.408315
1531387,5218,32767,300,-39,-62,-13,-0.129470,0.167454,1.410582
1547013,5222,32767,382,-19,-64,-9,-0.129787,0.167061,1.414811
1562639,5292,32767,310,9,-63,-9,-0.130180,0.167055,1.417078
1578265,5262,32767,260,42,-57,-3,-0.130965,0.166888,1.422112
1593891,5272,32767,142,63,-56,-2,-0.131531,0.166898,1.424898
1609517,5324,32767,74,46,-54,-6,-0.132609,0.166783,1.430719
1625143,5278,32767,86,32,-55,-6,-0.133739,0.166793,1.436103
1640770,5222,32767,96,8,-58,-7,-0.134083,0.166640,1.438616
1656396,5282,32767,70,-7,-56,-12,-0.134737,0.166418,1.443020
1672022,5252,32767,138,-10,-57,-11,-0.134963,0.166242,1.444986
1687648,5204,32767,112,-21,-53,-14,-0.135348,0.165915,1.448678
1703273,5170,32767,294,-17,-53,-13,-0.135603,0.165845,1.450406
1718898,5184,32767,352,-19,-66,-9,-0.135892,0.165456,1.453815
1734525,5216,32767,306,-14,-67,-9,-0.136065,0.165335,1.455359
1750152,5198,32767,272,18,-62,-5,-0.136494,0.165118,1.458720
1765778,5288,32767,260,50,-59,-1,-0.137220,0.164994,1.462687
1781403,5350,32767,160,69,-55,-2,-0.137738,0.165039,1.464863
1797030,5266,32767,162,58,-54,-1,-0.138753,0.164968,1.469617
1812656,5236,32767,72,31,-57,-5,-0.139286,0.165000,1.471778
1828282,5212,32767,156,4,-58,-9,-0.139885,0.164789,1.475470
1843908,5254,32767,218,-6,-59,-8,-0.140324,0.164572,1.478551
1859534,5194,32767,202,-2,-57,-10,-0.140495,0.164445,1.479906
1875160,5206,32767,290,0,-59,-10,3.141573,-0.002296,-0.000764
1890787,5280,32767,274,-5,-63,-10,-0.140881,0.163944,1.484062
1906414,5262,32767,318,-8,-65,-7,-0.141195,0.163709,1.486613
1922040,5260,32767,278,7,-59,-4,-0.141392,0.163670,1.487818
1937667,5204,32767,288,42,-62,-3,-0.141830,0.163489,1.490545
1953293,5252,32767,208,81,-68,2,-0.142231,0.163461,1.492355
1968919,5408,32767,92,94,-64,-1,-0.143197,0.163422,1.496514
1984545,5474,32767,0,75,-53,-2,-0.143776,0.163425,1.498758
2000170,5296,32767,60,36,-42,-3,-0.144881,0.163564,1.502652
2015796,5172,32767,136,-14,-49,-12,-0.145435,0.163418,1.505441
2031422,5266,32767,158,-46,-54,-19,-0.145360,0.163150,1.506342
2047048,5234,32767,288,-41,-48,-17,-0.145145,0.162717,1.507448
2062674,5174,32767,394,-38,-51,-14,-0.145019,0.162493,1.508002
2078300,5196,32767,392,-23,-55,-12,-0.144897,0.162141,1.509112
2093926,5246,32767,284,14,-56,-13,-0.144895,0.161994,1.509755
2109552,5292,32767,228,44,-53,-7,-0.145105,0.161654,1.512011
2125178,5248,32767,180,73,-49,-1,-0.145381,0.161565,1.513455
2140804,5248,32767,156,68,-44,0,-0.146203,0.161502,1.516783
2156431,5218,32767,8,44,-45,2,-0.147060,0.161546,1.519858
2172057,5172,32767,-58,17,-51,-8,-0.147318,0.161495,1.521042
2187682,5144,32767,14,4,-65,-5,-0.147601,0.161248,1.523129
2203308,5182,32767,110,-29,-63,-15,-0.147711,0.161138,1.524050
2218935,5256,32767,266,-40,-61,-15,-0.147478,0.160711,1.524993
2234561,5274,32767,306,-34,-61,-8,-0.147492,0.160580,1.525705
2250187,5314,32767,334,-39,-57,-16,-0.147352,0.160389,1.525997
2265813,5246,32767,346,-8,-64,-7,0.366862,-1.335875,0.549048
2281439,5252,32767,286,41,-59,-7,-0.147307,0.160110,1.527179
2297064,5298,32767,164,64,-58,-7,-0.147719,0.159931,1.529367
2312690,5338,32767,88,67,-54,0,-0.148188,0.160016,1.530748
2328316,5188,32767,94,62,-51,-5,-0.148925,0.160017,1.533384
2343942,5202,32767,16,34,-56,-5,-0.149187,0.159934,1.534654
2359569,5208,32767,36,15,-61,-6,-0.149578,0.159770,1.536669
2375195,5334,32767,92,4,-64,-11,-0.149804,0.159612,1.538076
2390822,5242,32767,164,-25,-60,-13,-0.149874,0.159559,1.538563
2406448,5222,32767,298,-35,-53,-16,-0.149662,0.159254,1.539062
