elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
0,23446,18622,-1734,-42,28,8,-0.000175,0.006959,0.015259
15627,23468,18594,-1766,-45,26,5,-0.000825,0.028568,0.032111
31254,23492,18632,-1776,-48,25,7,-0.001291,0.039556,0.040545
46881,23492,18602,-1756,-52,27,6,-0.002494,0.061409,0.057319
62507,23524,18560,-1728,-50,31,7,-0.003235,0.072272,0.065786
78134,23474,18556,-1736,-43,37,4,-0.004864,0.093995,0.082531
93761,23420,18496,-1696,-36,40,7,-0.005879,0.104730,0.091050
109388,23410,18468,-1756,-19,31,6,-0.008185,0.126076,0.108161
125014,23480,18556,-1782,-8,20,8,-0.010903,0.147651,0.125629
140640,23586,18556,-1788,-9,17,9,-0.012427,0.158501,0.134542
156267,23594,18636,-1832,-11,24,8,-0.015765,0.180177,0.152346
171893,23570,18672,-1748,-19,31,8,-0.017575,0.190891,0.161249
187519,23524,18660,-1814,-29,37,7,-0.021440,0.211930,0.178921
203144,23442,18640,-1780,-39,33,2,-0.023502,0.222374,0.187695
218770,23464,18598,-1758,-41,31,0,-0.027775,0.243139,0.205177
234396,23458,18460,-1708,-34,26,4,-0.032369,0.263616,0.222472
250022,23556,18482,-1790,-15,21,8,-0.034774,0.273901,0.231284
265649,23504,18532,-1730,3,25,8,-0.040149,0.294347,0.249179
281274,23534,18642,-1760,-1,29,9,-0.043137,0.304402,0.258402
296899,23442,18648,-1780,-21,29,9,-0.049079,0.324188,0.276670
312524,23460,18606,-1790,-44,29,7,-0.052152,0.334058,0.285577
328149,23420,18590,-1784,-44,28,7,-0.058369,0.353433,0.303126
343775,23424,18610,-1780,-34,24,7,-0.061665,0.362925,0.311982
359401,23498,18630,-1736,-34,22,9,-0.068435,0.381956,0.329811
375027,23550,18568,-1750,-45,23,11,-0.075541,0.400605,0.347697
390654,23520,18518,-1778,-41,23,9,-0.079224,0.409800,0.356403
406281,23562,18434,-1660,-30,28,8,-0.086792,0.428005,0.374219
421906,23452,18514,-1684,-20,33,9,-0.090761,0.436928,0.383169
437533,23418,18536,-1670,-11,27,6,-0.098969,0.454347,0.401414
453159,23488,18646,-1836,-6,13,9,-0.103207,0.462969,0.410594
468785,23612,18676,-1766,-16,8,10,-0.112061,0.480281,0.429262
484411,23538,18648,-1768,-32,25,6,-0.116441,0.488696,0.438599
500037,23478,18654,-1796,-35,32,7,-0.125462,0.505307,0.456840
515663,23430,18562,-1734,-37,30,6,-0.134637,0.521118,0.475052
531289,23446,18592,-1764,-29,23,6,-0.139243,0.528878,0.484100
546916,23494,18568,-1804,-33,17,9,-0.148671,0.544189,0.502295
562543,23548,18558,-1676,-37,20,5,-0.153695,0.551914,0.511464
578168,23610,18552,-1734,-33,26,5,-0.163510,0.566675,0.529633
593795,23490,18536,-1846,-29,30,4,-0.168488,0.573839,0.538747
609421,23446,18578,-1796,-26,18,4,-0.178583,0.587867,0.556918
625051,23508,18572,-1720,-27,13,7,-0.189042,0.601657,0.575449
640677,23554,18536,-1756,-28,13,7,-0.194350,0.608493,0.584586
656303,23570,18608,-1692,-38,19,6,-0.205223,0.621773,0.602870
671930,23504,18582,-1752,-42,26,7,-0.210485,0.628165,0.611959
687556,23426,18534,-1752,-32,31,9,-0.221291,0.640594,0.629908
703181,23392,18540,-1840,-23,26,9,-0.226861,0.646611,0.638896
718806,23426,18534,-1736,-26,17,11,-0.238054,0.658403,0.657270
734432,23554,18584,-1724,-34,12,6,-0.243756,0.664243,0.666200
750058,23580,18570,-1688,-36,18,6,-0.255049,0.675663,0.684370
765683,23548,18560,-1660,-36,20,5,-0.266317,0.686543,0.702266
781308,23524,18530,-1696,-29,26,3,-0.271997,0.691798,0.711093
796934,23506,18480,-1748,-17,26,6,-0.283559,0.702016,0.728962
812561,23424,18546,-1768,-7,23,10,-0.289497,0.706991,0.737899
828188,23474,18604,-1652,-3,18,9,-0.301613,0.716753,0.756019
843815,23500,18618,-1826,-13,21,11,-0.307570,0.721458,0.765184
859441,23492,18640,-1782,-28,27,10,-0.319697,0.730664,0.782973
875068,23418,18536,-1692,-39,27,10,-0.331320,0.739277,0.800277
890694,23470,18506,-1776,-41,17,11,-0.337006,0.743495,0.808780
906319,23522,18484,-1802,-29,11,8,-0.348701,0.751922,0.825690
921946,23628,18554,-1684,-11,8,6,-0.354696,0.756079,0.834349
937572,23674,18498,-1666,3,10,6,-0.366884,0.764076,0.851980
953199,23644,18576,-1720,15,19,8,-0.373057,0.767839,0.860779
968826,23618,18578,-1838,8,29,12,-0.385615,0.775248,0.878330
984452,23492,18640,-1836,-6,34,11,-0.391948,0.778798,0.887027
1000078,23416,18810,-1810,-11,21,8,-0.403928,0.785414,0.903876
1015704,23512,18814,-1842,-22,12,9,-0.415771,0.791857,0.920763
1031330,23556,18720,-1802,-52,24,8,-0.415771,0.791857,0.920763
1046956,23524,18626,-1766,-80,28,6,-0.432299,0.800831,0.944426
1062583,23534,18472,-1740,-75,27,1,-0.437440,0.803755,0.951737
1078209,23474,18432,-1744,-55,29,2,-0.447672,0.809238,0.966307
1093836,23444,18390,-1754,-39,27,7,-0.452962,0.811907,0.973715
1109462,23412,18442,-1774,-19,22,8,-0.463864,0.817147,0.988640
1125089,23380,18548,-1776,9,9,11,3.141505,0.000000,0.000000
1140716,23492,18650,-1734,13,-2,11,-0.481224,0.824693,1.012113
1156343,23572,18722,-1840,0,-4,16,-0.493008,0.829649,1.028085
1171970,23666,18678,-1774,-16,8,13,-0.498901,0.832100,1.035900
1187596,23632,18652,-1706,-24,20,8,-0.509973,0.836520,1.050867
1203221,23604,18640,-1714,-33,32,9,-0.515336,0.838646,1.058040
1218848,23482,18548,-1790,-44,35,8,-0.525322,0.842425,1.071678
1234475,23440,18502,-1804,-48,26,8,-0.530118,0.844285,1.078039
1250101,23538,18520,-1824,-39,18,10,-0.539875,0.847897,1.091325
1265728,23570,18554,-1732,-20,11,7,-0.549838,0.851536,1.104554
1281354,23566,18642,-1692,-17,14,6,-0.554942,0.853346,1.111357
1296980,23562,18608,-1688,-21,23,9,-0.564846,0.856496,1.124769
1312607,23502,18498,-1714,-24,30,9,-0.569793,0.858086,1.131143
1328233,23442,18508,-1752,-15,28,8,-0.579101,0.860987,1.143615
1343860,23476,18548,-1780,-4,19,10,-0.583971,0.862355,1.149893
1359487,23582,18680,-1826,-8,6,11,-0.593633,0.865181,1.162684
1375112,23708,18664,-1840,-32,21,6,-0.598478,0.866554,1.169017
1390738,23558,18650,-1808,-43,39,3,-0.607537,0.869130,1.181119
1406365,23392,18564,-1822,-45,38,3,-0.615747,0.871319,1.192075
1421992,23424,18468,-1710,-38,22,2,-0.619629,0.872234,1.197500
1437618,23564,18460,-1754,-25,7,7,-0.627968,0.874465,1.208506
1453244,23650,18512,-1722,-9,10,9,-0.632284,0.875585,1.214223
1468869,23594,18616,-1756,0,25,9,-0.641188,0.877849,1.225577
1484495,23516,18706,-1812,-4,31,9,-0.645453,0.878708,1.231161
1500121,23458,18704,-1774,-19,26,6,-0.653921,0.880611,1.241979
1515748,23492,18632,-1778,-34,22,3,-0.661314,0.882065,1.252196
1531374,23520,18630,-1808,-39,24,6,-0.665015,0.882822,1.257096
1547001,23490,18544,-1840,-43,27,8,-0.672329,0.884414,1.266780
1562628,23528,18582,-1736,-39,24,9,-0.675640,0.885082,1.271261
1578255,23568,18594,-1704,-30,17,5,-0.682879,0.886647,1.280642
1593881,23622,18564,-1674,-28,19,6,-0.686389,0.887301,1.285267
1609508,23550,18508,-1750,-28,26,6,-0.693351,0.888637,1.294391
1625134,23594,18482,-1772,-21,30,6,-0.696800,0.889319,1.298889
1640761,23426,18580,-1816,-10,27,11,-0.703698,0.890588,1.307692
1656388,23498,18714,-1778,-1,14,10,-0.710710,0.891704,1.316662
1672014,23646,18740,-1752,-8,5,8,-0.714385,0.892299,1.321310
1687641,23660,18720,-1746,-38,19,3,-0.721136,0.893386,1.330323
1703266,23584,18644,-1816,-54,40,4,-0.724068,0.893730,1.334284
1718892,23468,18474,-1802,-56,40,6,-0.729414,0.894607,1.341240
1734519,23394,18396,-1726,-47,29,3,-0.731910,0.895025,1.344702
1750144,23458,18394,-1694,-26,13,4,-0.737434,0.895817,1.351917
1765771,23612,18540,-1728,6,7,9,-0.743719,0.896713,1.359922
1781397,23662,18678,-1778,6,20,9,-0.746987,0.897178,1.364166
1797023,23566,18682,-1736,-13,31,8,-0.753215,0.897994,1.372023
1812650,23490,18630,-1786,-36,33,5,-0.755977,0.898334,1.375508
1828275,23506,18542,-1842,-42,23,5,-0.760785,0.898841,1.381987
1843900,23550,18548,-1856,-31,15,6,-0.763266,0.899184,1.385278
1859526,23546,18548,-1740,-22,14,5,-0.768599,0.899813,1.392232
1875153,23462,18640,-1622,-29,24,5,-0.771294,0.900101,1.395646
1890778,23476,18590,-1730,-50,28,12,-0.775892,0.900529,1.401815
1906403,23512,18526,-1738,-51,21,9,-0.780246,0.901170,1.407313
1922029,23524,18518,-1738,-33,21,7,-0.782150,0.901302,1.410069
1937656,23486,18540,-1692,-20,19,7,-0.786942,0.901892,1.416032
1953282,23510,18552,-1808,-29,14,10,-0.789217,0.902120,1.418995
1968908,23604,18618,-1782,-31,11,10,-0.794014,0.902683,1.424971
1984534,23644,18630,-1748,-19,9,7,-0.796231,0.902881,1.427852
2000159,23654,18680,-1766,-15,17,8,-0.801089,0.903434,1.433928
2015785,23588,18666,-1756,-13,36,9,-0.803098,0.903565,1.436663
2031412,23718,18598,-1872,26,55,2,-0.807410,0.903908,1.442052
2047038,23772,18764,-1942,129,87,-14,-0.812016,0.904059,1.447866
2062665,23532,18996,-1910,142,97,-15,-0.814718,0.903920,1.451462
2078292,23372,18912,-1674,19,89,-13,-0.819032,0.903334,1.457705
2093919,23276,18542,-1710,-86,70,-21,-0.819990,0.902941,1.459493
2109545,23416,18278,-1776,-91,52,-23,-0.821064,0.902463,1.461772
2125171,23492,18208,-1922,-24,39,-14,-0.821635,0.902274,1.462972
2140796,23486,18458,-1802,37,42,3,-0.825142,0.902423,1.467545
2156422,23416,18618,-1742,39,42,13,-0.829538,0.902691,1.473043
2172051,23412,18698,-1750,44,38,14,-0.831668,0.902865,1.475518
2187677,23464,18748,-1908,49,33,9,-0.835767,0.903051,1.480779
2203303,23546,18836,-1998,48,41,1,-0.838093,0.903219,1.483594
2218929,23530,18930,-2038,36,53,-1,-0.841846,0.903057,1.488849
2234555,23414,18854,-1914,-13,60,-9,-0.843438,0.902919,1.491200
2250182,23314,18678,-1890,-66,53,-8,-0.845412,0.902556,1.494273
2265808,23342,18492,-1868,-74,37,-7,-0.846026,0.902365,1.495552
2281434,23462,18436,-1866,-18,27,-4,-0.847725,0.902260,1.498152
2297060,23514,18572,-1974,21,30,1,-0.850658,0.902261,1.502064
2312686,23520,18752,-1994,35,36,8,-0.852496,0.902385,1.504321
2328312,23422,18854,-1932,17,40,11,-0.856315,0.902566,1.509066
2343938,23366,18774,-1878,-3,39,6,-0.857843,0.902603,1.510996
2359563,23352,18780,-1816,-2,48,0,-0.860204,0.902419,1.514402
2375189,23390,18664,-2018,11,54,-3,-0.861159,0.902302,1.515958
2390816,23398,18750,-2002,33,63,-9,-0.863552,0.902118,1.519314
2406442,23418,18866,-2038,11,62,-5,-0.865765,0.901721,1.522814
2422069,23350,18776,-1916,-28,54,-5,-0.866864,0.901546,1.524397
2437696,23414,18686,-1876,-43,50,-19,-0.868192,0.901189,1.526663
2453323,23462,18664,-1890,-5,65,-19,-0.868571,0.900945,1.527575
2468949,23386,18632,-1978,43,89,-16,-0.870108,0.900550,1.530107
2484575,23238,18614,-2118,30,102,-18,-0.870697,0.900250,1.531351
2500201,23028,18598,-1964,0,88,-6,-0.872023,0.899831,1.533478
2515827,23038,18554,-2028,12,44,-3,-0.872457,0.899613,1.534428
2531453,23440,18732,-2092,55,13,-15,-0.874697,0.899327,1.537776
2547080,23510,18858,-2016,63,38,-13,-0.877907,0.898973,1.542578
2562705,23460,18848,-2052,34,77,-9,-0.879467,0.898851,1.544688
2578331,23276,18860,-2122,9,94,-10,-0.880766,0.898454,1.547025
2593957,23130,18866,-2198,-10,80,-10,-0.881213,0.898264,1.547859
2609583,23144,18806,-2228,-27,48,-16,-0.881908,0.897700,1.549580
2625210,23200,18772,-2136,-42,54,-25,-0.882365,0.897327,1.550602
2640835,23188,18766,-1930,-31,47,-10,-0.882927,0.896644,1.552281
2656460,23258,18800,-2148,-8,46,-6,-0.884213,0.896482,1.554205
2672085,23236,18820,-2230,4,63,-14,-0.884829,0.896269,1.555414
2687711,23158,18902,-2122,-7,68,-12,-0.885879,0.895863,1.557454
