ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,32634,2106,-55,-27,33,23778,23758,-524,-63,-30,18,8968,8546,-7468,-26,36,-4
32767,32767,2092,-53,-30,25,23660,23566,-578,-109,-26,12,8996,8532,-7552,-27,36,-7
32767,32767,2194,-62,-36,25,23596,23298,-626,-125,-33,4,8966,8598,-7616,-20,34,-7
32767,32767,2218,-108,-43,21,23660,23046,-484,-106,-40,-6,8902,8610,-7616,-29,36,-5
32767,32767,2206,-150,-50,25,23886,22886,-496,-60,-40,-9,8900,8650,-7596,-49,39,-10
32767,32554,2136,-168,-46,26,23878,23004,-478,-10,-33,-8,8958,8624,-7548,-65,43,-15
32767,32216,2172,-133,-43,29,23746,23326,-488,18,-27,-1,8992,8530,-7478,-68,48,-13
32767,32154,2068,-75,-39,26,23734,23622,-510,10,-33,12,8990,8422,-7500,-66,51,-11
32767,32480,2094,-35,-38,21,23754,23700,-400,-28,-34,7,8856,8408,-7424,-62,45,-10
32767,32767,2106,-41,-40,21,23708,23574,-606,-76,-34,-1,8912,8292,-7424,-47,34,-11
32767,32767,2208,-67,-45,23,23642,23354,-524,-93,-38,-1,8884,8306,-7634,-22,27,-11
32767,32767,2292,-116,-51,23,23802,23124,-534,-86,-47,-3,8922,8410,-7594,-1,26,-5
32767,32650,2278,-125,-47,23,23844,23076,-526,-48,-44,-4,8964,8514,-7670,0,28,-3
32767,32524,2260,-99,-34,24,23786,23182,-578,-15,-38,1,8992,8572,-7608,-14,29,-7
32767,32558,2290,-68,-25,23,23710,23382,-574,5,-34,3,8980,8616,-7606,-34,33,-7
32767,32720,2248,-72,-29,21,23696,23516,-524,-8,-35,0,8968,8586,-7560,-50,40,-6
32767,32714,2144,-98,-37,18,23764,23530,-528,-36,-35,-10,8910,8504,-7502,-57,40,-8
32767,32664,2044,-99,-42,17,23758,23418,-544,-52,-34,-11,8886,8414,-7532,-54,35,-12
32767,32566,2088,-90,-45,20,23770,23324,-524,-66,-36,-10,8918,8384,-7614,-45,33,-13
32767,32600,2150,-80,-46,18,23802,23354,-416,-53,-44,-6,8916,8396,-7696,-45,35,-13
32767,32566,2170,-63,-39,20,23758,23380,-436,-46,-49,0,8950,8322,-7690,-49,36,-11
32767,32616,2250,-57,-38,19,23764,23384,-420,-40,-53,3,8970,8370,-7502,-44,29,-11
32767,32767,2330,-57,-42,19,23776,23264,-562,-26,-50,2,8976,8372,-7580,-31,26,-10
32767,32767,2418,-96,-46,15,23780,23256,-580,-25,-44,-4,8936,8446,-7500,-24,35,0
32767,32764,2322,-124,-40,13,23684,23264,-700,-25,-38,-6,8832,8450,-7612,-23,31,3
32767,32628,2292,-106,-35,13,23688,23318,-610,-29,-36,-9,8858,8438,-7616,-21,19,5
32767,32602,2190,-90,-30,13,23684,23364,-538,-36,-40,-11,8958,8358,-7618,-21,20,0
32767,32596,2062,-90,-31,12,23742,23412,-466,-48,-41,-11,8992,8372,-7528,-25,26,-7
32767,32568,1978,-94,-41,9,23774,23396,-476,-47,-36,-10,8958,8324,-7588,-33,33,-14
32767,32530,2040,-100,-43,10,23730,23308,-504,-43,-36,-8,8868,8326,-7608,-42,38,-15
32767,32494,2192,-79,-47,13,23784,23352,-502,-32,-40,-7,8836,8404,-7564,-48,34,-13
32767,32767,2286,-59,-44,15,23762,23370,-564,-26,-46,-6,8878,8444,-7528,-43,22,-4
32767,32767,2226,-80,-46,16,23738,23346,-556,-26,-54,-7,8900,8434,-7624,-42,15,4
32767,32767,2272,-99,-50,20,23776,23358,-566,-31,-53,-8,8986,8334,-7672,-40,18,5
32767,32642,2196,-107,-49,15,23790,23248,-640,-30,-49,-3,9018,8268,-7642,-36,31,2
32767,32544,2296,-95,-42,7,23748,23274,-650,-23,-43,-4,8926,8324,-7538,-30,38,-2
32767,32674,2210,-78,-38,3,23772,23250,-648,-16,-36,-10,8850,8308,-7572,-29,38,-4
32767,32716,2160,-74,-39,5,23752,23308,-658,-15,-31,-16,8844,8264,-7472,-28,24,-3
32767,32750,2116,-86,-47,10,23684,23360,-616,-13,-26,-17,8914,8330,-7610,-11,12,-2
32767,32606,1948,-104,-56,9,23698,23332,-472,-6,-29,-10,8994,8388,-7598,2,19,-3
32767,32416,1950,-109,-63,9,23686,23446,-378,-4,-29,0,8890,8412,-7604,3,33,-6
32767,32386,1978,-88,-68,6,23778,23384,-398,-6,-32,12,8754,8402,-7564,-4,27,-9
32767,32472,2134,-63,-73,5,23750,23334,-472,-5,-29,10,8778,8326,-7444,-15,8,-10
