ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,31918,1998,-54,-41,7,23408,23594,-946,-20,-42,-7,9368,9296,-6996,-16,33,19
32767,31886,1962,-52,-37,7,23426,23626,-878,-31,-51,-6,9318,9328,-7010,-18,39,9
32767,31884,2062,-41,-41,7,23458,23570,-936,-39,-48,-7,9294,9334,-7054,-35,42,0
32767,32000,2100,-65,-46,3,23404,23436,-914,-32,-46,-9,9220,9376,-6972,-61,43,-2
32767,31738,2192,-82,-49,1,23430,23450,-1096,-22,-45,-11,9158,9306,-6952,-61,33,3
32767,31688,2116,-68,-43,0,23452,23510,-930,3,-49,-10,9224,9198,-6926,-31,13,6
32767,31800,2164,-59,-33,6,23524,23682,-1054,5,-49,-14,9214,9176,-6924,-8,5,3
32767,31772,2052,-52,-23,14,23502,23906,-1016,-7,-45,-9,9318,9260,-7006,7,7,1
32767,31774,2066,-46,-23,20,23420,23874,-990,-28,-43,-8,9322,9344,-7032,17,17,1
32767,31868,2020,-61,-35,16,23544,23788,-1060,-44,-48,-12,9248,9450,-6926,13,29,0
32767,32052,2032,-83,-44,9,23616,23704,-1052,-42,-37,-12,9182,9520,-6990,-1,21,0
32767,31922,2042,-118,-45,6,23510,23620,-1076,-34,-34,-13,9286,9508,-7102,-8,7,5
32767,31772,2046,-97,-40,8,23394,23728,-1040,-21,-41,-10,9414,9542,-7022,-19,13,7
32767,31912,1944,-59,-32,16,23482,23756,-1054,-29,-40,-3,9392,9520,-7026,-37,34,7
32767,31954,1886,-56,-29,16,23478,23694,-1038,-37,-42,0,9304,9374,-7084,-51,45,3
32767,32078,2006,-75,-32,5,23500,23530,-1058,-49,-38,-6,9264,9254,-6984,-64,48,-2
32767,32112,2000,-94,-39,2,23390,23458,-902,-48,-37,-8,9226,9226,-7062,-64,43,-3
32767,31906,2004,-101,-42,6,23368,23494,-852,-44,-42,-6,9228,9158,-6982,-45,37,2
32767,31712,2012,-74,-37,4,23524,23632,-820,-36,-42,-6,9264,9176,-6928,-25,36,5
32767,31792,2004,-47,-28,9,23562,23686,-926,-37,-33,-12,9172,9222,-6840,-13,33,-2
32767,31840,2130,-55,-31,9,23368,23678,-980,-42,-32,-12,9098,9358,-6948,-7,25,-8
32767,31966,2228,-69,-40,11,23306,23586,-1088,-49,-42,-12,9144,9530,-6948,-5,4,1
32767,31936,2120,-100,-49,10,23556,23494,-1166,-29,-48,-15,9288,9548,-7054,-18,1,12
32767,31862,2188,-137,-42,9,23446,23604,-1200,-33,-38,-13,9388,9418,-7102,-36,16,4
32767,31602,2170,-122,-34,7,23498,23722,-1154,-31,-40,-9,9372,9312,-7108,-55,28,-6
32767,31720,2122,-93,-22,10,23640,23772,-1050,-45,-39,-14,9292,9292,-7080,-66,36,-13
32767,31820,1970,-77,-18,10,23700,23768,-958,-57,-28,-20,9262,9244,-7074,-70,36,-18
32767,31912,1840,-79,-20,9,23546,23646,-990,-49,-21,-18,9300,9268,-6904,-61,29,-18
32767,32038,1898,-95,-27,10,23400,23684,-964,-42,-30,-16,9346,9384,-6964,-39,22,-6
32767,31852,1898,-123,-37,12,23332,23686,-1096,-31,-36,-5,9358,9438,-6982,-6,22,7
32767,31724,1930,-113,-41,11,23290,23584,-1212,-37,-37,-3,9356,9426,-7138,1,28,7
32767,31780,2034,-87,-46,9,23424,23506,-1240,-47,-38,-7,9216,9358,-7102,-16,42,2
32767,31960,2040,-65,-44,5,23594,23434,-1174,-51,-34,-16,9114,9264,-7132,-43,49,-4
32767,32100,2190,-75,-32,3,23582,23266,-1094,-49,-25,-24,9166,9174,-7120,-59,37,-8
32767,31850,2018,-88,-23,4,23416,23318,-1012,-27,-26,-25,9376,9182,-7078,-68,23,-6
32767,31618,1860,-86,-23,6,23388,23494,-936,-8,-38,-18,9424,9134,-7022,-61,24,-2
32767,31546,1844,-74,-28,8,23448,23694,-946,15,-54,-6,9402,9176,-6986,-35,31,-3
32767,31616,1844,-72,-40,13,23318,23924,-928,0,-51,-1,9322,9232,-6996,-17,26,-7
32767,31578,1910,-75,-51,18,23412,23878,-1078,-36,-47,-5,9268,9242,-7060,-10,28,-6
32767,31684,2006,-41,-43,23,23574,23598,-1192,-56,-40,-12,9064,9268,-6988,5,37,0
32767,32116,2342,-16,-35,11,23500,23364,-1184,-58,-31,-22,9000,9352,-6986,7,28,4
32767,32462,2266,-90,-45,2,23390,23358,-1160,-38,-36,-17,9208,9384,-6980,-5,-1,7
32767,31904,2062,-152,-47,1,23396,23446,-988,-21,-45,-10,9500,9312,-7184,-10,-11,11
32767,31376,1894,-113,-36,4,23334,23554,-1048,-5,-56,-8,9602,9312,-7202,-17,21,7
32767,31582,1868,-39,-22,9,23464,23772,-1070,-11,-58,-7,9426,9316,-7092,-41,57,-5
32767,31986,1946,-38,-30,6,23530,23654,-1104,-22,-44,-11,9080,9256,-7090,-74,55,-15
32767,31884,2050,-64,-43,11,23406,23644,-1102,-33,-41,-16,9110,9254,-6966,-73,30,-8
32767,31814,2068,-83,-45,7,23412,23596,-1118,-18,-44,-14,9216,9202,-7072,-57,16,1
32767,31766,2048,-84,-41,4,23414,23652,-1020,4,-48,-5,9284,9136,-7032,-28,15,7
32767,31766,1932,-80,-39,3,23360,23716,-1016,-7,-55,0,9286,9170,-7106,13,22,7
32767,31780,1922,-65,-37,7,23428,23658,-1082,-28,-53,-6,9304,9208,-7120,29,25,8
32767,31842,1920,-55,-41,10,23430,23462,-960,-43,-48,-11,9276,9310,-7140,20,25,11
32767,31932,2006,-57,-43,7,23410,23388,-1042,-42,-45,-13,9252,9328,-6970,2,30,13
32767,31980,2196,-48,-41,4,23448,23380,-1016,-17,-42,-15,9144,9396,-6974,-8,31,13
32767,31894,2152,-55,-36,-3,23406,23460,-1118,-7,-46,-12,9166,9344,-6984,-27,19,11
32767,31848,2100,-62,-37,-3,23328,23636,-1022,-5,-55,-9,9294,9288,-7024,-48,11,9
32767,31670,2000,-69,-33,2,23360,23750,-906,-26,-59,-11,9382,9236,-7030,-57,19,6
32767,31618,1926,-53,-29,7,23484,23778,-1022,-37,-53,-8,9314,9156,-7110,-47,26,1
32767,31702,1984,-45,-29,12,23460,23592,-1030,-44,-47,-5,9144,9168,-7126,-40,24,-5
32767,31734,2102,-56,-33,14,23558,23524,-1044,-34,-43,-14,9208,9172,-7026,-39,22,-4
32767,32056,2120,-87,-52,4,23538,23480,-1112,-24,-34,-18,9190,9212,-6944,-39,20,-3
32767,31872,1968,-126,-50,5,23342,23622,-1082,-27,-39,-13,9150,9262,-6924,-16,9,6
32767,31562,2018,-96,-35,12,23308,23692,-1062,-31,-49,-8,9252,9312,-6976,17,-2,17
32767,31730,2020,-49,-24,14,23380,23674,-916,-29,-57,-6,9406,9354,-7080,18,1,19
32767,31938,1896,-54,-25,10,23504,23626,-994,-24,-54,-9,9360,9352,-7140,0,11,9
32767,31908,1914,-81,-38,6,23450,23542,-1084,-31,-45,-7,9330,9354,-7116,-30,27,1
32767,31898,1896,-101,-45,4,23424,23426,-1084,-30,-42,-11,9212,9300,-7124,-54,44,0
32767,31804,2102,-101,-45,4,23392,23468,-1022,-27,-46,-17,9098,9294,-6992,-61,40,8
32767,31758,2154,-67,-34,5,23342,23536,-1016,-23,-59,-16,9114,9236,-6926,-48,13,18
32767,31782,2098,-58,-32,4,23434,23544,-1022,-23,-64,-12,9264,9210,-6954,-29,-4,16
32767,31940,2066,-60,-24,2,23482,23514,-1074,-11,-62,-9,9334,9160,-7058,-9,4,10
32767,31838,1976,-76,-22,4,23418,23574,-1060,-1,-58,-8,9360,9180,-7112,-6,13,10
32767,31682,2000,-90,-32,2,23468,23588,-1062,8,-59,-8,9334,9212,-7202,-13,18,5
32767,31598,1954,-89,-35,2,23390,23702,-1054,7,-59,-13,9208,9234,-7058,-23,19,2
32767,31630,2094,-69,-33,0,23430,23700,-1028,-3,-61,-8,9154,9256,-7032,-25,13,8
