ax,ay,az,gx,gy,gz
32767,19964,6054,4,-98,-4
32767,20114,5786,8,-69,-6
32767,20138,5636,4,-20,-2
32767,20246,5772,-3,22,-9
32767,20392,6400,-34,23,-9
32767,20346,6740,-72,-21,-11
32767,20126,6772,-85,-83,-6
32767,19924,6316,-53,-130,7
32767,19802,5616,6,-107,18
32767,20040,5454,22,-41,-2
32767,20178,5862,-25,16,-17
32767,20096,6464,-71,15,-29
32767,19966,6862,-68,-32,-26
32767,19966,6562,-20,-92,-6
32767,20084,5980,15,-110,15
32767,20266,5612,-22,-65,5
32767,20032,5738,-58,-4,-17
32767,20006,6228,-55,8,-16
32767,20024,6596,-32,-8,-11
32767,20144,6554,-26,-56,-8
32767,20102,6306,-35,-91,-6
32767,19890,5962,-14,-93,0
32767,20060,5808,10,-73,-8
32767,20472,6010,-14,-38,-13
32767,20334,6064,-66,-19,-10
32767,20072,6076,-72,-17,-2
32767,19868,6132,-42,-19,13
32767,19834,6348,-28,-49,9
32767,19892,6322,-39,-64,-21
32767,19916,6064,-33,-66,-21
32767,19946,5898,4,-51,-8
32767,20134,6092,20,-27,-5
32767,20318,6314,-24,-39,-16
32767,20130,6404,-58,-55,-15
32767,20036,6224,-51,-74,-11
32767,20014,5938,-10,-68,-5
32767,20058,5810,10,-37,2
32767,20220,5968,-9,-16,-13
32767,20220,6554,-60,-30,-26
32767,20088,6524,-54,-66,-14
32767,20066,6130,-24,-86,-1
32767,20084,5750,-2,-72,8
32767,20084,5884,-18,-43,2
32767,19982,6140,-37,-21,-12
32767,20046,6300,-46,-22,-16
32767,20028,6356,-39,-46,-16
32767,20080,6094,-20,-53,0
32767,20012,5978,-25,-48,-3
32767,20000,6166,-19,-43,-12
32767,20168,6276,-29,-49,-17
32767,20174,6170,-32,-53,-13
32767,20160,5990,-16,-46,1
32767,20138,6044,-13,-34,5
32767,20160,6262,-31,-31,-7
32767,20166,6330,-78,-44,-21
32767,19814,6196,-63,-52,-14
32767,19742,6040,7,-53,3
