ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,19964,6054,4,-98,-4,25052,4170,5330,-32,15,13
32767,20114,5786,8,-69,-6,25022,4202,5206,-10,17,16
32767,20138,5636,4,-20,-2,25036,4390,5280,6,16,8
32767,20246,5772,-3,22,-9,25002,4590,5176,3,21,8
32767,20392,6400,-34,23,-9,24958,4606,5194,-19,25,15
32767,20346,6740,-72,-21,-11,24936,4552,5172,-37,24,10
32767,20126,6772,-85,-83,-6,25008,4472,5290,-48,31,6
32767,19924,6316,-53,-130,7,24962,4342,5322,-56,35,13
32767,19802,5616,6,-107,18,24698,4274,5296,-30,33,21
32767,20040,5454,22,-41,-2,24754,4328,5344,-24,19,9
32767,20178,5862,-25,16,-17,24722,4598,5166,-18,14,5
32767,20096,6464,-71,15,-29,24860,4638,5194,-49,6,0
32767,19966,6862,-68,-32,-26,24938,4430,5110,-69,10,3
32767,19966,6562,-20,-92,-6,25022,4138,5332,-74,14,3
32767,20084,5980,15,-110,15,24882,3982,5294,-19,33,14
32767,20266,5612,-22,-65,5,24762,4142,5370,20,27,15
32767,20032,5738,-58,-4,-17,24782,4452,5326,33,9,9
32767,20006,6228,-55,8,-16,24904,4702,5164,17,13,13
32767,20024,6596,-32,-8,-11,24954,4544,5064,-14,19,15
32767,20144,6554,-26,-56,-8,24948,4438,5238,-25,22,14
32767,20102,6306,-35,-91,-6,24984,4320,5310,-23,19,9
32767,19890,5962,-14,-93,0,25036,4342,5280,-6,19,13
32767,20060,5808,10,-73,-8,25016,4554,5216,5,16,10
32767,20472,6010,-14,-38,-13,25004,4704,5230,-8,14,3
32767,20334,6064,-66,-19,-10,25002,4762,5244,-36,14,0
32767,20072,6076,-72,-17,-2,25018,4552,5218,-68,17,5
32767,19868,6132,-42,-19,13,24970,4294,5210,-71,24,10
32767,19834,6348,-28,-49,9,25016,4220,5206,-58,23,9
32767,19892,6322,-39,-64,-21,25028,4334,5148,-35,24,7
32767,19916,6064,-33,-66,-21,25070,4442,5270,-41,27,5
32767,19946,5898,4,-51,-8,24922,4292,5236,-40,32,12
32767,20134,6092,20,-27,-5,24786,4154,5182,-29,18,10
32767,20318,6314,-24,-39,-16,24970,4314,5208,-4,7,-2
32767,20130,6404,-58,-55,-15,25100,4558,5204,-10,11,1
32767,20036,6224,-51,-74,-11,25050,4574,5348,-29,19,11
32767,20014,5938,-10,-68,-5,24958,4262,5292,-33,22,15
32767,20058,5810,10,-37,2,24952,4256,5282,-12,18,12
32767,20220,5968,-9,-16,-13,24972,4422,5218,1,17,6
32767,20220,6554,-60,-30,-26,24898,4688,5150,-18,15,5
32767,20088,6524,-54,-66,-14,24974,4668,5282,-48,14,2
32767,20066,6130,-24,-86,-1,25040,4386,5232,-67,21,6
32767,20084,5750,-2,-72,8,24984,4166,5350,-50,27,12
32767,20084,5884,-18,-43,2,24884,4234,5210,-18,26,9
32767,19982,6140,-37,-21,-12,24860,4560,5242,-18,17,2
32767,20046,6300,-46,-22,-16,24912,4718,5144,-36,9,5
32767,20028,6356,-39,-46,-16,25084,4426,5270,-71,14,5
32767,20080,6094,-20,-53,0,25010,4124,5204,-63,28,11
32767,20012,5978,-25,-48,-3,24864,4054,5356,-27,24,10
32767,20000,6166,-19,-43,-12,24872,4352,5156,10,20,5
32767,20168,6276,-29,-49,-17,24954,4584,5282,-4,13,6
32767,20174,6170,-32,-53,-13,25032,4530,5314,-22,17,9
32767,20160,5990,-16,-46,1,25020,4392,5262,-41,22,12
32767,20138,6044,-13,-34,5,24934,4254,5326,-26,24,15
32767,20160,6262,-31,-31,-7,24916,4300,5242,-9,22,8
32767,20166,6330,-78,-44,-21,24938,4566,5314,-8,16,7
32767,19814,6196,-63,-52,-14,25044,4632,5254,-41,23,5
32767,19742,6040,7,-53,3,25010,4434,5272,-58,25,12
32767,19946,5918,68,-44,12,24846,4184,5252,-53,21,14
32767,20466,6194,25,-46,-4,24866,4232,5202,-24,12,3
32767,20462,6334,-71,-47,-21,25012,4494,5152,-8,10,-4
32767,20016,6108,-120,-61,-25,25200,4496,5472,-34,8,-1
32767,19764,5908,-58,-52,-6,25260,4208,5268,-43,27,17
32767,20014,5920,34,-32,11,24872,3982,5246,-23,43,26
32767,20336,6238,4,-27,-7,24776,4386,5156,32,29,6
32767,20324,6336,-62,-36,-26,24848,4802,5260,9,16,0
32767,19950,6190,-29,-63,-7,25008,4792,5284,-30,18,11
32767,20354,6030,15,-62,10,24996,4392,5368,-67,21,15
32767,20312,5938,-31,-43,0,24984,4198,5210,-43,26,8
32767,20082,6076,-82,-36,-9,24934,4370,5244,-26,22,1
32767,19754,6190,-61,-35,-5,24928,4646,5188,-22,23,3
32767,19912,6078,-10,-37,2,24914,4678,5244,-60,24,5
32767,20166,6106,-17,-36,-7,24960,4244,5228,-71,19,14
32767,20012,6080,-56,-33,-19,25114,4044,5294,-49,20,6
32767,19900,6346,-26,-53,-17,25126,4262,5234,-19,30,2
32767,20018,6246,7,-63,-3,24976,4448,5256,-20,39,9
32767,20184,5926,12,-52,-5,24876,4466,5246,-29,32,11
32767,20198,5950,-25,-29,-14,24842,4324,5302,-33,21,5
32767,20206,6172,-58,-19,-24,24972,4270,5286,-25,16,8
32767,20060,6294,-58,-24,-16,25072,4334,5228,-11,13,7
32767,19950,6300,-31,-43,-4,25042,4522,5188,-10,20,3
32767,20126,6152,-1,-52,1,25044,4550,5294,-27,23,7
32767,20170,6054,-5,-49,2,24982,4380,5256,-37,28,11
32767,20100,6060,-28,-49,-9,24956,4258,5270,-28,25,13
32767,20114,6288,-59,-59,-20,25020,4368,5278,-19,20,5
32767,20028,6134,-43,-61,-8,25048,4592,5230,-17,26,6
32767,20074,5800,-11,-51,1,24994,4584,5280,-39,24,8
32767,20058,5834,2,-24,10,25066,4480,5280,-58,26,3
32767,20148,6140,-23,-11,0,24958,4282,5336,-62,30,9
32767,20078,6486,-60,-30,-16,24900,4304,5238,-38,24,8
32767,19924,6440,-60,-57,-13,24876,4406,5164,-32,21,1
32767,19860,6098,-35,-79,-9,24900,4520,5222,-47,20,3
32767,19998,5778,9,-56,-5,24982,4324,5240,-68,21,10
32767,20210,5934,0,-30,-8,24932,4054,5322,-56,25,15
32767,20306,6068,-38,-15,-18,24900,4016,5312,-11,25,13
32767,20138,6426,-67,-33,-18,24930,4328,5214,8,22,1
32767,19946,6450,-44,-58,-6,24902,4664,5176,4,22,3
32767,19900,6066,1,-75,8,24918,4508,5276,-39,17,12
32767,20158,5948,19,-64,3,24984,4286,5300,-41,19,11
32767,20294,5812,-23,-30,-7,25058,4214,5294,-25,24,9
32767,20102,6182,-84,-10,-22,24884,4354,5206,-5,29,9
32767,19802,6562,-67,-29,-19,24798,4498,5202,-14,19,9
32767,19750,6488,-13,-66,-8,24926,4590,5226,-33,15,7
32767,20032,6248,39,-90,-4,25036,4476,5240,-53,16,7
32767,20350,5964,21,-77,-5,25048,4292,5238,-60,23,4
32767,20298,5750,-23,-40,-1,24924,4152,5336,-30,23,8
32767,20150,5942,-64,-14,-8,24922,4302,5260,-10,16,1
32767,19974,6454,-60,-23,-11,25010,4424,5296,-10,11,2
32767,19972,6334,-42,-47,-6,25080,4368,5208,-13,15,16
32767,20084,6170,-31,-60,-10,25014,4294,5140,-13,28,19
32767,20052,5952,-22,-55,-7,24982,4430,5320,-14,30,5
32767,20118,6050,-25,-46,-8,24946,4458,5258,-18,36,11
32767,20028,6216,-30,-41,-10,24876,4372,5252,-18,26,24
32767,20098,6328,-19,-50,-10,24966,4508,5148,-6,19,5
32767,20160,6198,-23,-58,0,25050,4702,5222,-21,15,-1
32767,20028,5832,-35,-44,1,25002,4572,5224,-46,21,5
32767,19948,5882,-30,-23,2,24924,4360,5232,-64,20,8
32767,19968,6154,-33,-8,-6,24990,4264,5336,-55,18,6
32767,20042,6316,-35,-20,-10,24946,4284,5198,-40,20,6
32767,20092,6442,-53,-50,-14,24938,4392,5248,-37,22,7
32767,19880,6348,-49,-80,-11,25016,4458,5274,-46,24,5
32767,19792,6014,-12,-87,-5,24994,4254,5248,-50,29,12
32767,19988,5736,30,-61,0,25004,4102,5266,-34,28,12
32767,20330,5848,7,-8,-20,24878,4238,5254,-12,23,8
32767,20348,6290,-58,1,-28,24932,4388,5240,3,16,5
32767,20128,6544,-70,-26,-18,25016,4490,5200,-2,11,7
32767,19912,6512,-38,-64,0,25030,4530,5216,-16,14,4
32767,19964,6180,12,-87,11,25006,4438,5262,-32,21,5
32767,20162,5918,9,-75,4,24976,4282,5284,-35,24,12
32767,20202,5910,-31,-49,-14,24934,4238,5282,-19,25,13
32767,20078,6198,-48,-38,-10,24904,4480,5292,-7,17,7
32767,20120,6222,-31,-54,-3,24990,4632,5200,-20,14,5
