ax,ay,az,gx,gy,gz
32767,20402,6092,-70,-67,-4
32767,20308,5748,-31,-62,12
32767,20394,5678,-28,-20,11
32767,20710,6084,-135,27,-37
32767,19914,6352,-153,36,-50
32767,19946,6386,-33,9,-6
32767,20098,6514,66,-23,29
32767,20712,6320,57,-40,9
32767,20638,6250,-52,-70,-12
32767,20328,6196,-76,-75,-35
32767,20326,5996,-21,-71,-5
32767,20596,5904,5,-45,13
32767,20488,6076,-43,-21,16
32767,20088,6480,-102,-32,-13
32767,19826,6528,-83,-66,-39
32767,20012,6200,0,-93,-17
32767,20468,5816,57,-76,8
32767,20724,5810,46,-37,13
32767,20506,6282,-45,-13,6
32767,20222,6510,-70,-35,-18
32767,20188,6492,-49,-80,-22
32767,20338,6126,14,-101,-2
32767,20728,5754,32,-78,13
32767,20684,5696,-18,-34,34
32767,20162,5976,-83,-3,29
32767,19694,6250,-98,8,-24
32767,19902,6370,-25,-1,-37
32767,20344,6204,26,-7,-21
32767,20766,6300,41,-12,-14
32767,20780,6272,14,-24,1
32767,20692,6530,-21,-47,11
32767,20466,6388,-55,-77,6
32767,20156,6188,-62,-86,0
32767,20118,5886,-26,-75,-2
32767,20464,5854,2,-32,-6
32767,20554,6130,-30,-15,-7
32767,20298,6700,-57,-42,-17
32767,20242,6758,-41,-91,-26
32767,20282,6292,-7,-130,-9
32767,20534,5764,30,-118,14
32767,20572,5436,17,-63,22
32767,20136,5994,-37,2,8
32767,20092,6392,-54,12,-39
32767,20230,6512,-53,-13,-48
32767,20440,6380,-11,-43,-31
32767,20674,5980,20,-54,-9
32767,20802,5786,18,-26,14
32767,20810,5990,-39,4,8
32767,20522,6242,-87,14,-5
32767,20040,6524,-89,-26,3
32767,20052,6406,-33,-59,6
32767,20270,6092,1,-75,8
32767,20306,5978,4,-66,6
32767,20338,6096,-26,-44,-12
32767,20340,6228,-49,-37,-30
32767,20414,6344,-40,-51,-20
32767,20406,6134,-6,-67,1
32767,20542,6014,-6,-72,16
32767,20302,6008,-48,-53,-6
32767,20116,6032,-50,-33,-23
32767,20146,6158,-16,-21,-24
32767,20488,6534,12,-47,-16
32767,20690,6410,15,-78,-6
32767,20576,6016,-18,-95,9
32767,20382,5684,-36,-69,10
32767,20280,6288,-78,-7,-15
32767,20192,6484,-57,-22,-18
32767,20170,6360,-11,-56,-3
32767,20458,6036,24,-66,1
32767,20518,6000,-6,-60,-4
32767,20460,6120,-31,-52,-11
32767,20354,6250,-58,-53,-19
32767,20256,6230,-42,-59,-21
32767,20412,5972,0,-54,3
32767,20486,5624,12,-23,22
32767,20604,5722,-30,32,5
32767,20464,6258,-110,53,-27
32767,19994,6650,-90,20,-28
32767,20242,6634,-8,-45,8
32767,20544,6442,22,-92,8
32767,20648,6112,-22,-109,-1
32767,20318,5704,-66,-94,1
32767,19898,5928,-50,-60,-8
32767,20010,5980,-6,-31,-18
32767,20332,6110,10,-19,-18
32767,20690,6194,1,-14,-12
32767,20690,6286,-30,-17,-4
32767,20584,6624,-43,-49,-8
32767,20442,6396,-28,-83,-7
32767,20408,6094,-14,-101,6
32767,20438,5798,-20,-82,9
