ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20402,6092,-70,-67,-4,24024,5170,5260,-50,43,25
32767,20308,5748,-31,-62,12,23916,5020,5210,-43,32,27
32767,20394,5678,-28,-20,11,23980,5282,5168,-22,15,4
32767,20710,6084,-135,27,-37,24266,5490,5126,-29,17,-1
32767,19914,6352,-153,36,-50,24304,5436,5220,-39,36,8
32767,19946,6386,-33,9,-6,24152,5220,5166,-55,52,12
32767,20098,6514,66,-23,29,23930,4996,5150,-43,47,16
32767,20712,6320,57,-40,9,23864,5084,5226,-12,36,6
32767,20638,6250,-52,-70,-12,23996,5304,5330,-9,13,0
32767,20328,6196,-76,-75,-35,24086,5442,5132,-25,14,9
32767,20326,5996,-21,-71,-5,24140,5152,5274,-25,12,16
32767,20596,5904,5,-45,13,24102,5280,5216,-30,26,11
32767,20488,6076,-43,-21,16,24044,5334,5290,-29,15,18
32767,20088,6480,-102,-32,-13,24034,5268,5274,-37,19,7
32767,19826,6528,-83,-66,-39,24194,5214,5080,-35,11,-3
32767,20012,6200,0,-93,-17,24246,5148,5244,-34,24,-6
32767,20468,5816,57,-76,8,23950,5026,5204,-31,33,29
32767,20724,5810,46,-37,13,23814,5126,5256,-17,20,17
32767,20506,6282,-45,-13,6,23904,5348,5206,-11,5,4
32767,20222,6510,-70,-35,-18,24182,5332,5152,-8,-2,2
32767,20188,6492,-49,-80,-22,24320,5310,5222,-16,7,-4
32767,20338,6126,14,-101,-2,24244,5304,5234,-30,18,13
32767,20728,5754,32,-78,13,24014,5230,5326,-30,23,19
32767,20684,5696,-18,-34,34,23932,5332,5230,-33,14,8
32767,20162,5976,-83,-3,29,24058,5324,5216,-37,4,5
32767,19694,6250,-98,8,-24,24326,5174,5150,-29,19,9
32767,19902,6370,-25,-1,-37,24348,5238,5286,-29,41,3
32767,20344,6204,26,-7,-21,24242,5134,5202,-48,56,17
32767,20766,6300,41,-12,-14,23986,4864,5120,-35,57,23
32767,20780,6272,14,-24,1,23840,5030,5164,-8,49,10
32767,20692,6530,-21,-47,11,23830,5378,5252,7,29,4
32767,20466,6388,-55,-77,6,23888,5518,5340,-5,16,0
32767,20156,6188,-62,-86,0,24050,5354,5276,-29,6,8
32767,20118,5886,-26,-75,-2,24222,5216,5224,-35,11,4
32767,20464,5854,2,-32,-6,24286,5164,5138,-31,9,11
32767,20554,6130,-30,-15,-7,24116,5238,5204,-27,13,1
32767,20298,6700,-57,-42,-17,24170,5328,5172,-26,14,3
32767,20242,6758,-41,-91,-26,24218,5238,5224,-26,18,6
32767,20282,6292,-7,-130,-9,24078,5254,5272,-31,21,10
32767,20534,5764,30,-118,14,23968,5246,5244,-41,15,8
32767,20572,5436,17,-63,22,23974,5110,5204,-35,0,6
