A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-3300,88,15644,-55,-92,71,-15696,2700,-2504,-312,-49,-158,-15712,-2400,-636,567,-200,-61,-15424,-1492,-280,741,-16,-19,-15020,3840,-3548,-446,117,156,-14836,-3396,15384,127,-269,-191
-3424,4,15636,-98,-104,42,-15680,2520,-2564,-298,-117,-151,-15752,-2488,-612,575,-171,-33,-15356,-1604,-464,713,34,-37,-14916,3856,-3592,-435,101,191,-14776,-3380,15300,114,-264,-165
-3260,124,15588,-93,-86,73,-15788,2704,-2416,-332,-91,-172,-15728,-2284,-540,593,-180,-66,-15496,-1544,-144,727,7,32,-14964,3760,-3784,-379,111,217,-14724,-3364,15396,105,-247,-225
-3324,96,15608,-74,-4,58,-15552,2584,-2532,-253,-66,-170,-15748,-2508,-444,628,-148,-69,-15464,-1640,-152,715,42,97,-15028,3844,-3460,-382,20,224,-14808,-3364,15268,127,-122,-224
-3400,-16,15692,-81,24,84,-15800,2592,-2560,-324,-9,-225,-15784,-2472,-432,544,-199,-56,-15492,-1588,-432,752,-20,3,-14976,3888,-3604,-466,58,187,-14848,-3288,15304,106,-108,-285
-3428,60,15504,-71,7,61,-15684,2588,-2476,-347,-30,-198,-15720,-2464,-504,608,-178,-79,-15424,-1472,-228,640,-2,17,-15008,3952,-3448,-510,82,196,-14820,-3308,15384,43,-62,-273
-3380,152,15580,-39,-11,70,-15668,2724,-2496,-384,25,-188,-15868,-2420,-428,424,-144,-28,-15496,-1624,-264,497,52,25,-15020,3900,-3692,-633,118,165,-14900,-3332,15172,6,-16,-274
-3416,8,15692,16,-34,94,-15848,2440,-2408,-439,48,-171,-15740,-2536,-544,432,-143,-41,-15340,-1556,-260,492,-31,37,-15000,3876,-3576,-786,169,137,-14800,-3620,15304,-62,-54,-208
-3320,8,15672,12,-67,68,-15792,2724,-2304,-426,71,-193,-15804,-2360,-548,386,-199,-63,-15400,-1620,-412,629,21,-4,-15004,3584,-3444,-639,64,235,-14724,-3536,15332,-151,-218,-203
-3448,32,15684,28,-55,60,-15704,2512,-2344,-323,-13,-191,-15672,-2576,-532,602,-155,-48,-15388,-1732,-400,711,30,144,-14980,3748,-3720,-369,20,242,-14864,-3456,15184,-155,-218,-226
-3340,-4,15792,25,-71,60,-15648,2656,-2408,-291,42,-159,-15856,-2472,-564,612,-130,-23,-15572,-1764,-192,757,14,131,-14936,3996,-3760,-450,11,277,-14764,-3384,15212,-9,57,-287
-3448,96,15748,31,-79,76,-15820,2528,-2332,-397,27,-123,-15696,-2500,-504,469,-173,-9,-15364,-1708,-192,621,24,67,-14940,3744,-3624,-559,93,227,-14908,-3416,15336,-76,37,-267
-3348,-4,15564,22,-93,84,-15820,2568,-2320,-305,17,-82,-15828,-2472,-492,537,-125,49,-15496,-1624,-196,616,23,42,-14984,3748,-3664,-463,60,209,-14908,-3444,15188,-116,-54,-221
-3444,68,15576,28,-87,51,-15676,2552,-2284,-368,37,-89,-15800,-2416,-472,497,-146,21,-15412,-1632,-60,671,-21,115,-14976,3824,-3632,-539,50,203,-14788,-3428,15244,-44,38,-261
-3364,-92,15624,32,-65,84,-15872,2512,-2376,-305,54,-127,-15852,-2464,-540,565,-140,17,-15524,-1564,-344,653,65,133,-14876,3908,-3420,-482,49,256,-14784,-3580,15284,49,-17,-212
-3336,168,15644,12,-76,72,-15756,2580,-2500,-335,25,-56,-15752,-2728,-544,582,-147,34,-15464,-1812,-296,658,14,41,-14956,3832,-3720,-378,30,228,-14820,-3516,15432,51,-253,-223
-3356,-8,15780,17,-98,76,-15620,2628,-2428,-259,64,-46,-15804,-2496,-396,681,-107,54,-15452,-1428,-256,785,17,87,-15028,3900,-3588,-386,62,249,-14772,-3468,15344,164,98,-287
-3464,124,15704,33,-80,72,-15620,2588,-2520,-368,71,-30,-15712,-2488,-436,494,-106,90,-15332,-1640,-244,561,-15,149,-15012,3752,-3524,-473,49,217,-14932,-3536,15260,171,185,-327
-3348,-44,15692,24,-50,80,-15732,2440,-2176,-282,85,-62,-15876,-2488,-488,596,-59,83,-15452,-1480,-384,697,10,129,-14996,3760,-3568,-406,-24,254,-14948,-3552,15320,83,53,-217
-3472,-136,15532,78,-29,54,-15664,2572,-2652,-492,139,-86,-15724,-2384,-616,614,-147,107,-15352,-1584,-296,734,-14,146,-14908,3728,-3628,-335,74,288,-14784,-3504,15176,136,-78,-187
-3320,-20,15664,84,-79,57,-15724,2584,-2260,-381,134,-101,-15884,-2328,-540,651,-71,56,-15440,-1468,-144,776,49,213,-14820,3908,-3440,-331,-65,337,-14868,-3360,15184,218,-78,-193
-3468,-68,15740,168,-40,59,-15620,2552,-2552,-519,156,-135,-15784,-2452,-464,551,-105,68,-15500,-1568,-136,645,-16,195,-14940,3880,-3572,-330,34,311,-14944,-3284,15192,240,-18,-223
-3472,-28,15568,188,-107,100,-15744,2524,-2356,-416,193,-106,-15776,-2320,-568,518,-35,66,-15400,-1500,-168,686,8,141,-15020,3916,-3420,-424,22,302,-14784,-3324,15104,232,-84,-266
-3372,68,15572,157,-124,79,-15636,2744,-2448,-349,169,-166,-15824,-2184,-676,452,-70,10,-15368,-1332,-272,522,-25,273,-14956,3916,-3672,-467,27,309,-14712,-3416,15224,175,33,-243
