A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
3696,1540,16928,1143,-170,-148,1596,13212,8884,303,-116,187,-6232,7052,13352,-230,-11,-200,-7892,-2260,12304,-290,322,-189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3448,956,18092,163,442,561,1300,12620,8520,-683,282,217,-6324,6968,13544,432,-102,75,-7960,-2652,12804,-160,335,-155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3416,256,17996,1601,-745,299,928,12876,8580,-227,-30,47,-6416,7496,13052,-37,-62,-376,-7700,-2268,12188,162,-170,-219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3744,1408,17412,311,251,-96,1784,13392,8696,21,40,158,-5928,6992,13348,-355,117,-97,-7784,-2424,12372,-475,685,-146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3448,496,18104,677,188,653,1264,12264,8492,-837,229,123,-6540,6560,13504,516,9,-96,-7956,-2640,12604,38,110,-266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3496,-128,17700,1797,-367,66,1080,13008,8520,578,-171,-43,-6268,7652,13020,83,-106,-376,-7780,-2288,11936,155,-138,-141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3928,1644,17768,311,-189,42,1704,13404,8708,-410,-30,38,-6056,7328,13524,-457,124,-51,-7808,-2344,12392,-671,782,-113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3544,380,18084,531,647,505,1228,12584,8616,-1318,278,193,-6524,6408,13296,358,80,-185,-7920,-2712,12628,30,74,-216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3204,312,17892,1331,-457,91,804,12716,8548,610,-83,32,-6568,7988,13120,-57,-304,-363,-7772,-2388,11876,-33,65,-139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3616,748,17580,299,-190,251,1632,13564,8580,-765,125,42,-5980,6632,13472,-459,217,-47,-7812,-2496,12584,-659,707,-159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3580,680,18144,1562,466,127,1488,11984,8444,18,111,99,-6412,6868,13420,832,50,-50,-7876,-2536,12532,303,-43,-210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3288,1488,18156,543,-240,61,1080,13784,8368,715,-112,99,-6472,7792,13216,-215,-128,-213,-7816,-2156,12144,-261,112,-96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3800,1360,17760,307,-48,490,1884,13252,8576,-1838,190,111,-6268,6784,13548,-169,139,-214,-7836,-2284,12680,-539,678,-110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3240,112,18336,1158,247,481,1220,12044,8484,-86,242,163,-6608,7196,13144,41,-134,-141,-7912,-2608,12476,164,-134,-222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3436,1148,17768,1069,-276,-130,1104,13696,8584,595,-267,53,-6288,7260,13192,-83,32,-176,-7700,-2340,12152,-270,381,-51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3404,680,17992,399,-60,414,1620,12676,8588,-1085,145,3,-6384,7120,13752,203,78,75,-7800,-2640,12460,-275,339,-178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3336,496,18188,1756,60,40,1276,12236,8652,307,-72,124,-6128,7392,13028,-229,57,-266,-7676,-2432,12184,-162,-2,-157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3508,1748,17592,85,-427,262,992,13912,8412,112,49,163,-6364,6612,13036,10,104,-121,-7724,-2412,12284,-372,469,-106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3188,832,17672,1329,-63,360,1600,12152,8388,-1035,184,191,-6560,7248,13648,710,-119,40,-7868,-2384,12408,364,145,-305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
