a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
5800,21062,-18934,36,34,28,2646,32361,-14106,38,-53,-2,10776,2496,-3166,7,13,14,23160,11758,-2596,-305,-20,-82
5900,20678,-18976,-58,43,-3,2724,32471,-13938,27,-50,-8,10750,2514,-2988,12,4,18,23212,11576,-2828,-297,-49,-66
5660,20628,-18952,-45,39,-3,2642,32588,-13946,53,-54,-2,10842,2614,-2966,29,-5,18,23206,11472,-2862,-284,-75,-58
5530,20598,-18942,-60,33,-7,2768,32696,-13976,84,-72,1,10946,2816,-3062,25,4,15,23276,11444,-2704,-267,-96,-48
5002,20798,-18858,-53,10,-5,2934,32535,-13896,58,-65,-6,11020,2954,-3144,6,9,-17,23332,11450,-2744,-263,-111,-36
4500,20856,-18916,-82,-22,2,2880,32565,-13898,7,-57,-18,11112,2898,-3240,-7,16,-1,23348,11386,-2800,-248,-127,-20
4656,20944,-18978,-36,-18,4,2822,32529,-13654,11,-58,-13,11038,2758,-3236,-15,24,4,23350,11328,-2878,-232,-141,-10
4648,20554,-19088,-16,-2,-1,2858,32445,-13814,37,-66,-5,11014,2644,-3192,-24,26,10,23478,11324,-2834,-212,-152,-7
4846,20424,-19030,-27,-1,-12,2896,32549,-13876,44,-54,-8,10954,2628,-3138,-20,34,12,23440,11516,-2698,-198,-134,-10
4688,20550,-19010,-41,-3,-19,2724,32709,-13860,21,-39,-15,10906,2728,-3232,-8,36,15,23480,11508,-2708,-191,-111,-10
4464,20794,-18902,-69,-11,-27,2644,32660,-13936,7,-50,-20,10864,2716,-3138,-9,39,15,23512,11366,-2804,-173,-115,-9
4620,20558,-18784,-46,0,-26,2572,32504,-13800,30,-58,-15,10800,2672,-3098,-12,45,14,23452,11352,-2838,-156,-98,-5
4360,20830,-18796,-38,-7,-19,2622,32674,-14046,38,-67,-9,10800,2608,-3068,-7,43,18,23344,11464,-2868,-132,-87,5
4222,21108,-18776,23,-15,-10,2632,32706,-13818,26,-44,-11,10912,2674,-3182,-2,46,18,23306,11680,-2912,-134,-107,6
4348,20884,-18862,34,10,-11,2568,32680,-13946,10,-41,-19,10788,2560,-3144,0,56,15,23450,11508,-2958,-139,-120,9
4060,21292,-18868,15,26,-22,2356,32357,-13906,23,-47,-12,10574,2548,-3046,8,51,18,23454,11456,-2924,-132,-109,12
4268,21026,-18998,15,45,-36,2554,32606,-13846,37,-68,-6,10626,2678,-3084,20,29,24,23298,11398,-2866,-111,-95,12
4564,20746,-18976,-12,54,-34,2658,32547,-14046,28,-69,-1,10664,2660,-3010,17,29,16,23334,11472,-2824,-98,-104,11
4584,20846,-19068,39,22,-22,2758,32714,-13960,31,-63,1,10714,2764,-2914,12,25,10,23484,11558,-2784,-83,-112,13
4622,20830,-19060,25,26,-5,2628,32759,-14006,19,-55,0,10658,2718,-2926,4,29,8,23460,11616,-2704,-66,-89,11
4542,20812,-18932,-63,42,1,2736,32357,-14032,10,-68,-7,10680,2640,-2992,0,30,5,23270,11654,-2772,-66,-67,6
4684,20832,-19008,-67,36,-1,2696,32431,-13802,4,-56,0,10626,2704,-2906,-2,14,6,23128,11696,-2730,-60,-78,0
4978,20538,-18816,-35,35,-4,2614,32433,-13700,15,-75,8,10846,2788,-3010,2,7,3,23094,11762,-2682,-70,-87,-6
4966,20634,-18862,-14,31,1,2860,32766,-13876,59,-82,14,10794,2744,-3014,-12,17,-6,23190,11526,-2700,-77,-88,-15
5160,20800,-18882,-18,11,1,2790,32345,-13874,38,-68,4,10810,2760,-2892,-9,8,-2,23286,11412,-2792,-64,-92,-18
4546,21220,-18958,36,19,12,2624,32485,-13874,15,-58,-9,11016,2876,-3096,-16,10,-2,23382,11390,-2746,-39,-99,-18
4660,21180,-18930,-58,-10,11,2752,32761,-13858,32,-70,-11,10858,2942,-3148,-26,17,-4,23430,11468,-2690,-26,-97,-21
4862,20776,-18958,-45,-19,10,2754,32403,-14048,37,-62,-7,10908,2806,-3176,-50,21,-8,23568,11450,-2588,-11,-93,-27
4794,20946,-18918,-60,-30,9,2684,32558,-13924,20,-62,-11,10722,2686,-3140,-47,32,-7,23676,11658,-2694,30,-90,-25
4800,20844,-18946,-53,4,7,2686,32505,-14112,13,-60,-17,10734,2748,-3158,-36,25,-1,23686,11978,-2576,52,-95,-18
5070,20640,-18978,-82,14,-4,2572,32655,-13890,8,-66,-16,10822,2766,-3078,-38,25,1,23842,12290,-2620,34,-80,-20
5048,20552,-18912,-36,55,-16,2706,32687,-14096,17,-66,-13,10918,2700,-3122,-46,29,1,23762,12260,-2606,12,-67,-22
4652,20874,-18934,-16,68,-19,2664,32638,-13956,25,-56,-10,10844,2694,-2992,-47,33,2,23762,12362,-2548,9,-85,-16
4476,20928,-18972,-27,64,-15,2652,32408,-14070,22,-60,-18,10722,2674,-3116,-52,33,6,23880,12344,-2556,-19,-85,-21
4438,20966,-19056,-41,54,-15,2664,32760,-13964,11,-57,-22,10648,2578,-3062,-54,25,11,23824,12116,-2528,-31,-52,-20
4790,20786,-19092,-69,34,-22,2574,32495,-14010,20,-48,-19,10658,2588,-2998,-56,21,12,23690,12056,-2532,-23,-27,-9
4966,20508,-19046,-46,53,-24,2656,32697,-13926,31,-56,-15,10678,2358,-2936,-56,20,10,23644,12128,-2586,-1,-39,11
5304,20522,-18986,-38,55,-19,2754,32357,-13972,36,-42,-11,10686,2336,-2978,-44,21,5,23630,12412,-2484,7,-45,22
5034,20488,-18966,23,68,-3,2526,32738,-13910,20,-50,-8,10662,2336,-2964,-26,14,3,23728,12554,-2636,-14,-28,23
4808,21058,-19024,34,64,7,2760,32686,-14024,42,-64,-5,10600,2432,-3076,-25,8,-1,23644,12516,-2612,-29,-31,27
4828,20824,-18966,15,68,8,2730,32434,-13792,45,-49,-8,10694,2372,-3098,-19,2,-2,23708,12524,-2580,-46,-36,27
4796,21112,-18938,15,33,9,2428,32418,-13776,37,-50,-6,10718,2450,-3172,-13,6,-6,23662,12314,-2640,-71,-20,23
5268,20674,-19086,-12,6,12,2714,32639,-13998,40,-62,-10,10726,2434,-3154,-16,5,-8,23560,11992,-2656,-74,-6,18
