a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
6484,21892,-9072,-29,101,-2,1162,32767,-8646,-9,-53,-25,8568,5130,-9656,-20,31,-8,24354,17476,1338,-54,-39,-33
5528,22586,-8638,-6,190,-16,1568,32767,-8978,-36,-35,-29,8536,5280,-9588,-12,37,1,24476,17552,1308,-46,-76,-31
4372,23472,-8358,-65,156,-11,958,32767,-8528,-23,-16,-20,8438,5568,-9632,-2,43,22,24596,17554,1296,-40,-53,-27
4540,21986,-8722,-210,-94,22,906,32767,-8424,9,-81,-4,8406,5744,-9656,-29,37,39,24358,17610,1214,-61,-32,-26
6322,21238,-8860,-187,-210,43,1842,32767,-8410,47,-118,3,8382,5614,-9582,-78,39,40,24374,17292,1136,-88,-59,-28
7190,20700,-8958,-40,-41,21,1722,32767,-8738,33,-44,-1,8276,5174,-9596,-92,59,30,24638,17006,1022,-60,-75,-23
6266,22196,-8512,96,194,-20,1258,32767,-8628,77,-44,-8,8276,5038,-9582,-70,61,20,24578,17290,1148,-21,-39,-22
5264,22284,-8534,44,168,-27,1526,32767,-8614,37,-51,-29,8240,5010,-9558,-64,53,16,24368,17486,1128,-32,-30,-24
5368,22642,-8748,9,130,-11,1676,32767,-8416,35,-60,-34,8250,4944,-9440,-48,40,18,24508,17362,988,-44,-72,-20
4896,22830,-8628,-82,112,-5,1758,32767,-8528,-1,-38,-37,8240,5028,-9344,-39,39,21,24804,17418,892,-44,-82,-14
5716,22160,-8738,-173,-113,28,1100,32767,-8658,-25,9,-40,8166,5084,-9432,-19,30,27,24712,17448,1268,-52,-42,-15
7058,21800,-8990,-202,-80,31,1238,32767,-9054,50,-38,-12,8252,5214,-9656,-14,21,28,24398,17184,1268,-55,7,-18
7058,21026,-9008,-119,58,4,1462,32767,-8744,37,-42,-30,8290,5170,-9588,-45,27,11,24190,17242,1344,-26,-30,-19
6468,22150,-8936,-14,131,-12,1218,32767,-8580,37,-56,-25,8272,5076,-9610,-42,28,0,24496,17448,1228,-26,-84,-25
5742,22298,-8960,-16,132,-20,1632,32767,-8480,80,-100,-16,8362,5052,-9522,-34,36,-9,24762,17524,1204,-35,-46,-30
5222,23388,-8734,-23,103,-21,1478,32767,-8360,52,-63,-17,8364,5174,-9410,-33,25,-12,24508,17424,1170,-52,4,-30
